,rank,title,artist,week,raw_rank,full_id,delta_rank,weeks_in_chart,best_pos
0,1,неболей,Basta & Zivert,01/09/20 - 07/09/20,32.0,,,,
1,2,Сияй,Ramil',01/09/20 - 07/09/20,32.714,,,,
2,3,Юность,Dabro,01/09/20 - 07/09/20,33.571,,,,
3,4,Lollipop,Gafur & JONY,01/09/20 - 07/09/20,35.714,,,,
4,5,Cadillac,MORGENSHTERN & Allj,01/09/20 - 07/09/20,37.786,,,,
5,6,Minor,Miyagi & Andy Panda,01/09/20 - 07/09/20,40.0,,,,
6,7,X.O,The Limba & Andro,01/09/20 - 07/09/20,40.143,,,,
7,8,Поболело и прошло,HENSY,01/09/20 - 07/09/20,40.214,,,,
8,9,Краш,Klava Koka & NILETTO,01/09/20 - 07/09/20,40.929,,,,
9,10,Твой поцелуй,Асия & NЮ,01/09/20 - 07/09/20,41.429,,,,
10,11,А если это любовь?,HammAli & Navai,01/09/20 - 07/09/20,44.07100000000001,,,,
11,12,БЕГИ (feat. Poët),DJ Smash,01/09/20 - 07/09/20,44.714,,,,
12,13,Lollipop,Allj & MORGENSHTERN,01/09/20 - 07/09/20,44.714,,,,
13,14,Ты пари,JONY,01/09/20 - 07/09/20,46.286,,,,
14,15,Fendi,Rakhim,01/09/20 - 07/09/20,46.429,,,,
15,16,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,01/09/20 - 07/09/20,48.429,,,,
16,17,Мир сошёл с ума,JONY,01/09/20 - 07/09/20,49.429,,,,
17,18,Вали,Канги,01/09/20 - 07/09/20,50.643,,,,
18,19,WAP (feat. Megan Thee Stallion),Cardi B,01/09/20 - 07/09/20,51.57100000000001,,,,
19,20,Ты беспощадна,JONY,01/09/20 - 07/09/20,51.57100000000001,,,,
20,21,Там ревели горы,Miyagi & Andy Panda,01/09/20 - 07/09/20,53.0,,,,
21,22,Blinding Lights,The Weeknd,01/09/20 - 07/09/20,53.214,,,,
22,23,Coco L'Eau,Egor Kreed & The Limba,01/09/20 - 07/09/20,55.714,,,,
23,24,Lovefool,twocolors,01/09/20 - 07/09/20,56.0,,,,
24,25,Плачу на техно,Cream Soda & Khleb,01/09/20 - 07/09/20,56.357,,,,
25,26,На своём вайбе (feat. Гуф),Jah Khalib,01/09/20 - 07/09/20,59.0,,,,
26,27,Не смогу,VERBEE & KARA KROSS,01/09/20 - 07/09/20,59.07100000000001,,,,
27,28,А уже фсё,Mitchel,01/09/20 - 07/09/20,60.0,,,,
28,29,Меня не будет (feat. SALUKI),ANIKV,01/09/20 - 07/09/20,61.286,,,,
29,30,Если тебе будет грустно,Rauf & Faik & NILETTO,01/09/20 - 07/09/20,61.57100000000001,,,,
30,31,А за окном дожди,JONY,01/09/20 - 07/09/20,62.143,,,,
31,32,Океан,Mari Kraymbreri,01/09/20 - 07/09/20,62.357,,,,
32,33,ERRDAY,Big Baby Tape,01/09/20 - 07/09/20,62.714,,,,
33,34,Ураган (feat. V $ X V PRiNCE),Guf & Murovei,01/09/20 - 07/09/20,63.0,,,,
34,35,Французский поцелуй,Misha Marvin & Hanna,01/09/20 - 07/09/20,63.857,,,,
35,36,Комета,JONY,01/09/20 - 07/09/20,64.286,,,,
36,37,Нежность,Mary Gu,01/09/20 - 07/09/20,64.571,,,,
37,38,Fly 2 (feat. NILETTO),Zivert,01/09/20 - 07/09/20,66.0,,,,
38,39,В последний раз,Тима Белорусских,01/09/20 - 07/09/20,66.5,,,,
39,40,ВЕЧЕРиНОЧКА,MONATIK & Вера Брежнева,01/09/20 - 07/09/20,67.429,,,,
40,41,Лето на ветер,Guf & Kravz,01/09/20 - 07/09/20,68.429,,,,
41,42,Покинула чат,Klava Koka,01/09/20 - 07/09/20,69.286,,,,
42,43,Минимум,Ямаджи & Фейджи,01/09/20 - 07/09/20,70.0,,,,
43,44,Ананасовый сироп,Natan & Ганвест,01/09/20 - 07/09/20,71.071,,,,
44,45,Девочка танцуй,Artik & Asti,01/09/20 - 07/09/20,71.143,,,,
45,46,ICE (feat. MORGENSHTERN),MORGENSHTERN,01/09/20 - 07/09/20,73.571,,,,
46,47,F..k That,Bastard!,01/09/20 - 07/09/20,73.714,,,,
47,48,Ей нравится,Lesha Svik,01/09/20 - 07/09/20,76.143,,,,
48,49,Boom Boom,LOBODA & PHARAOH,01/09/20 - 07/09/20,76.857,,,,
49,50,Тепло,Max Korzh,01/09/20 - 07/09/20,76.929,,,,
50,51,Прятки,HammAli & Navai,01/09/20 - 07/09/20,77.214,,,,
51,52,Utopia,Miyagi & Andy Panda,01/09/20 - 07/09/20,77.286,,,,
52,53,Не пускайте танцевать (feat. Aslai),"Timran, Zell & Batrai",01/09/20 - 07/09/20,77.714,,,,
53,54,Любимка,NILETTO,01/09/20 - 07/09/20,78.143,,,,
54,55,Все мимо,Artik & Asti,01/09/20 - 07/09/20,79.5,,,,
55,56,Было или нет?,ANIKV & SALUKI,01/09/20 - 07/09/20,79.857,,,,
56,57,ЯТЛ,Zivert,01/09/20 - 07/09/20,81.429,,,,
57,58,Небесные розы,JONY,01/09/20 - 07/09/20,82.714,,,,
58,59,Yamakasi,Miyagi & Andy Panda,01/09/20 - 07/09/20,83.286,,,,
59,60,Двигаться,Raim,01/09/20 - 07/09/20,84.0,,,,
60,61,Забываю обещания,Andro,01/09/20 - 07/09/20,84.571,,,,
61,62,Бумажный дом,Mot,01/09/20 - 07/09/20,85.714,,,,
62,63,3-е сентября,Mikhail Shufutinskiy,01/09/20 - 07/09/20,86.571,,,,
63,64,Девочка с картинки,Egor Kreed,01/09/20 - 07/09/20,87.429,,,,
64,65,Положение,Scriptonite,01/09/20 - 07/09/20,87.64299999999999,,,,
65,66,Дерзко (feat. Kali),Truwer,01/09/20 - 07/09/20,88.429,,,,
66,67,Фаталити (feat. KAREENA),Elena Temnikova,01/09/20 - 07/09/20,88.571,,,,
67,68,Август,Intelligency,01/09/20 - 07/09/20,89.714,,,,
68,69,Kosandra,Miyagi & Andy Panda,01/09/20 - 07/09/20,89.786,,,,
69,70,Положение,DIOR & Samo & ID,01/09/20 - 07/09/20,89.929,,,,
70,71,Beverly Hills,Zivert,01/09/20 - 07/09/20,89.929,,,,
71,72,BALENCIAGA,FILV,01/09/20 - 07/09/20,90.5,,,,
72,73,Втюрилась,dora,01/09/20 - 07/09/20,91.286,,,,
73,74,Credo,Zivert,01/09/20 - 07/09/20,91.857,,,,
74,75,Lonely,Max Barskih & Джаро,01/09/20 - 07/09/20,92.143,,,,
75,76,Грустный дэнс (feat. Артём Качер),Artik & Asti,01/09/20 - 07/09/20,93.571,,,,
76,77,Life,Zivert,01/09/20 - 07/09/20,94.071,,,,
77,78,Moskva lyubit...,Scriptonite,01/09/20 - 07/09/20,94.571,,,,
78,79,"ТЫ КРУЧЕ, ЧЕМ...",GAYAZOV$ BROTHER$,01/09/20 - 07/09/20,95.286,,,,
79,80,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,01/09/20 - 07/09/20,95.714,,,,
80,81,Таблетка,Джаро & Ханза & kavabanga Depo kolibri,01/09/20 - 07/09/20,97.929,,,,
81,82,I Got Love (feat. Рем Дигга),Miyagi & Эндшпиль,01/09/20 - 07/09/20,98.857,,,,
82,83,Atlant,Miyagi & Andy Panda,01/09/20 - 07/09/20,99.571,,,,
83,84,Луна не знает пути,Тайпан & Agunda,01/09/20 - 07/09/20,100.071,,,,
84,85,Ice Cream,BLACKPINK & Selena Gomez,01/09/20 - 07/09/20,102.0,,,,
85,86,Kings & Queens,Ava Max,01/09/20 - 07/09/20,102.429,,,,
86,87,Brooklyn (feat. TumaniYO),Miyagi & Andy Panda,01/09/20 - 07/09/20,104.571,,,,
87,88,POPSTAR (feat. Drake),DJ Khaled,01/09/20 - 07/09/20,104.857,,,,
88,89,Дежавю,kizaru,01/09/20 - 07/09/20,105.286,,,,
89,90,Камин (feat. JONY),EMIN,01/09/20 - 07/09/20,105.286,,,,
90,91,Mood (feat. iann dior),24kGoldn,01/09/20 - 07/09/20,105.286,,,,
91,92,Midnight Sky,Miley Cyrus,01/09/20 - 07/09/20,106.0,,,,
92,93,Забил,ATL,01/09/20 - 07/09/20,106.214,,,,
93,94,Зелёные волны,Zivert,01/09/20 - 07/09/20,106.643,,,,
94,95,Tantra,Miyagi & Andy Panda,01/09/20 - 07/09/20,106.714,,,,
95,96,911,Allj,01/09/20 - 07/09/20,108.0,,,,
96,97,На тебя смотрю,VesKaspiyskiy & Jah Khalib,01/09/20 - 07/09/20,110.0,,,,
97,98,МАЛЬЧИК,ФОГЕЛЬ,01/09/20 - 07/09/20,110.286,,,,
98,99,Dynamite,BTS,01/09/20 - 07/09/20,110.286,,,,
99,100,Аферист,Haski,01/09/20 - 07/09/20,110.714,,,,
100,101,A Million on My Soul (Remix) feat. Alexiane,Moses & EMR3YGUL,01/09/20 - 07/09/20,111.0,,,,
101,102,Dance Monkey,Tones And I,01/09/20 - 07/09/20,112.857,,,,
102,103,Пряталась в ванной,Mari Kraymbreri,01/09/20 - 07/09/20,121.0,,,,
103,104,Watermelon Sugar,Harry Styles,01/09/20 - 07/09/20,125.286,,,,
104,105,Лютики,просто Лера,01/09/20 - 07/09/20,125.857,,,,
105,106,По щекам слёзы,КУЧЕР & JANAGA,01/09/20 - 07/09/20,126.429,,,,
106,107,Roses (Imanbek Remix),SAINt JHN,01/09/20 - 07/09/20,135.714,,,,
107,108,Мадам,JONY & Andro,01/09/20 - 07/09/20,140.571,,,,
108,109,Mira me bebè,Джаро & Ханза & Olga Buzova,01/09/20 - 07/09/20,142.571,,,,
109,110,Мало нам,Miyagi & Andy Panda,01/09/20 - 07/09/20,143.0,,,,
110,111,Спой (feat. Мот),Misha Marvin,01/09/20 - 07/09/20,143.286,,,,
111,1,неболей,Basta & Zivert,02/09/20 - 08/09/20,17.857,,,,
112,2,Сияй,Ramil',02/09/20 - 08/09/20,19.070999999999998,,,,
113,3,Юность,Dabro,02/09/20 - 08/09/20,20.143,,,,
114,4,Lollipop,Gafur & JONY,02/09/20 - 08/09/20,22.0,,,,
115,5,БЕГИ (feat. Poët),DJ Smash,02/09/20 - 08/09/20,23.570999999999998,,,,
116,6,Cadillac,MORGENSHTERN & Allj,02/09/20 - 08/09/20,25.143,,,,
117,7,Ты пари,JONY,02/09/20 - 08/09/20,26.214000000000002,,,,
