,rank,title,artist,date,streams
0,1,Lollipop,Eldzhey,06/09/2020,"71,026"
1,2,ERRDAY,Big BaTape,06/09/2020,"61,439"
2,3,Coco L'Eau,Egor Kreed,06/09/2020,"54,662"
3,4,Dynamite,BTS,06/09/2020,"47,185"
4,5,Дежавю,kizaru,06/09/2020,"44,464"
5,6,WAP (feat. Megan Thee Stallion),Cardi B,06/09/2020,"43,841"
6,7,Cadillac,MORGENSHTERN,06/09/2020,"38,940"
7,8,Меня не будет,ANIKV,06/09/2020,"36,398"
8,9,Fendi,Rakhim,06/09/2020,"34,773"
9,10,Blinding Lights,The Weeknd,06/09/2020,"33,778"
10,11,Юность,Dabro,06/09/2020,"32,923"
11,12,X.O,The Limba,06/09/2020,"32,627"
12,13,Втюрилась,дора,06/09/2020,"31,547"
13,14,Москва любит...,Scriptonite,06/09/2020,"31,418"
14,15,Friendly Fire - Prod. Avepack,Boulevard Depo,06/09/2020,"31,307"
15,16,Поболело и прошло,HENSY,06/09/2020,"30,477"
16,17,Minor,Miyagi & Andy Panda,06/09/2020,"30,140"
17,18,Колхозник,Mnogoznaal,06/09/2020,"29,430"
18,19,Сияй,Ramil',06/09/2020,"28,825"
19,20,Ice Cream (with Selena Gomez),BLACKPINK,06/09/2020,"28,382"
20,21,ICE (feat. MORGENSHTERN),MORGENSHTERN,06/09/2020,"25,311"
21,22,Краш,Klava Koka,06/09/2020,"24,949"
22,23,БЕГИ feat. Poët,DJ Smash,06/09/2020,"23,374"
23,24,Если тебе будет грустно,Rauf & Faik,06/09/2020,"23,355"
24,25,Тепло,Max Korzh,06/09/2020,"22,891"
25,26,Положение,Scriptonite,06/09/2020,"21,912"
26,27,Аферист,Husky,06/09/2020,"21,412"
27,28,Narcos,kizaru,06/09/2020,"21,171"
28,29,Вали,Канги,06/09/2020,"21,072"
29,30,Забил,ATL,06/09/2020,"21,056"
30,31,2 типа людей,Max Korzh,06/09/2020,"20,908"
31,32,Trap Luv,Big BaTape,06/09/2020,"20,774"
32,33,Проснулся В Темноте,GONE.Fludd,06/09/2020,"19,025"
33,34,Дорадура,дора,06/09/2020,"18,982"
34,35,How You Like That,BLACKPINK,06/09/2020,"18,462"
35,36,молчи,кис-кис,06/09/2020,"18,095"
36,37,ROCKSTAR (feat. Roddy Ricch),DaBaby,06/09/2020,"18,026"
37,38,Плачу на техно,Cream Soda,06/09/2020,"17,023"
38,39,Honey's Kettle,kizaru,06/09/2020,"16,873"
39,40,ДЕВОЧКА С КАРЕ,MUKKA,06/09/2020,"16,816"
40,41,Angry toy$ - Prod. Ray Qwa,Boulevard Depo,06/09/2020,"16,722"
41,42,Kosandra,Miyagi & Andy Panda,06/09/2020,"16,535"
42,43,Obey (with YUNGBLUD),Bring Me The Horizon,06/09/2020,"16,534"
43,44,ВТОРНИК,GONE.Fludd,06/09/2020,"16,196"
44,45,Номера,LSP,06/09/2020,"16,194"
45,46,Yamakasi,Miyagi & Andy Panda,06/09/2020,"16,062"
46,47,Watermelon Sugar,Harry Styles,06/09/2020,"15,935"
47,48,MONEY LONG,kizaru,06/09/2020,"15,664"
48,49,Конфеты,Markul,06/09/2020,"15,620"
49,50,Без ключа,PHARAOH,06/09/2020,"15,565"
50,51,Времена,Max Korzh,06/09/2020,"15,498"
51,52,неболей,Basta,06/09/2020,"15,440"
52,53,Антигерой,Mnogoznaal,06/09/2020,"15,212"
53,54,Brooklyn,Miyagi & Andy Panda,06/09/2020,"14,931"
54,55,Mood (feat. Iann Dior),24kGoldn,06/09/2020,"14,845"
55,56,Не Киряй,MUKKA,06/09/2020,"14,470"
56,57,THE BADDEST,K/DA,06/09/2020,"14,377"
57,58,Всё в порядке,DK,06/09/2020,"14,267"
58,59,Стресс,SALUKI,06/09/2020,"14,150"
59,60,Днями-ночами,Pyrokinesis,06/09/2020,"14,100"
60,61,ЮМОРИСТ - Original Motion Picture Soundtrack,FACE,06/09/2020,"13,918"
61,62,Дерзко,Truwer,06/09/2020,"13,723"
62,63,Инкассатор,ROCKET,06/09/2020,"13,695"
63,64,Серпантин,Markul,06/09/2020,"13,640"
64,65,Танцы,ssshhhiiittt!,06/09/2020,"13,453"
65,66,Привычка,Scriptonite,06/09/2020,"13,416"
66,67,Gimme The Loot,Big BaTape,06/09/2020,"13,395"
67,68,Midnight Sky,Miley Cyrus,06/09/2020,"13,333"
68,69,Falling,Trevor Daniel,06/09/2020,"13,291"
69,70,Lovefool,twocolors,06/09/2020,"13,268"
70,71,Серпантин,ATL,06/09/2020,"13,206"
71,72,Мультибрендовый,Scriptonite,06/09/2020,"13,130"
72,73,Любимка,NILETTO,06/09/2020,"13,123"
73,74,РАТАТАТАТА,MORGENSHTERN,06/09/2020,"13,086"
74,75,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,06/09/2020,"12,974"
75,76,Breaking Me,Topic,06/09/2020,"12,966"
76,77,Покинула чат,Klava Koka,06/09/2020,"12,963"
77,78,Новый Мерин,MORGENSHTERN,06/09/2020,"12,923"
78,79,She Wants,ROCKET,06/09/2020,"12,886"
79,80,911,Eldzhey,06/09/2020,"12,814"
80,81,Цепи,Scriptonite,06/09/2020,"12,798"
81,82,Ураган (feat. V $ X V PRiNCE),GUF,06/09/2020,"12,382"
82,83,Кино,MACAN,06/09/2020,"12,305"
83,84,Ананасовый сироп,Natan,06/09/2020,"12,271"
84,85,Roses - Imanbek Remix,SAINt JHN,06/09/2020,"12,214"
85,86,Надежда,FACE,06/09/2020,"12,187"
86,87,Kings & Queens,Ava Max,06/09/2020,"12,170"
87,88,Lollipop,Gafur,06/09/2020,"12,123"
88,89,Шантаж,Max Korzh,06/09/2020,"11,922"
89,90,Utopia,Miyagi & Andy Panda,06/09/2020,"11,843"
90,91,Между Нами,LIZER,06/09/2020,"11,823"
91,92,В последний раз,Tima Belorusskih,06/09/2020,"11,698"
92,93,27,FEDUK,06/09/2020,"11,689"
