,rank,title,artist,date
0,1,Blinding Lights,The Weeknd,30/08/2020
1,2,Юность,DaBro,30/08/2020
2,3,Краш,Клава Кока,30/08/2020
3,4,Roses (Imanbek Remix),SAINt JHN,30/08/2020
4,5,MAMACITA,Black Eyed Peas,30/08/2020
5,6,Сияй,Ramil',30/08/2020
6,7,Lovefool,twocolors,30/08/2020
7,8,Dance Monkey,Tones and I,30/08/2020
8,9,Fly 2,Zivert,30/08/2020
9,10,ily (i love you baby),Surf Mesa,30/08/2020
10,11,Поболело и прошло,Hensy,30/08/2020
11,12,Life,Zivert,30/08/2020
12,13,Ride It,Regard,30/08/2020
13,14,Комета,Jony,30/08/2020
14,15,Breaking Me,Topic,30/08/2020
15,16,Cadillac,Morgenshtern,30/08/2020
16,17,Таблетка,Джаро & Ханза,30/08/2020
17,18,Intihask,Hafex,30/08/2020
18,19,Ты беспощадна,Jony,30/08/2020
19,20,Lollipop,Gafur,30/08/2020
20,21,Двигаться,RaiM,30/08/2020
21,22,Say So,Doja Cat,30/08/2020
22,23,Плачу на техно,Cream Soda,30/08/2020
23,24,А если это любовь?,HammAli & Navai,30/08/2020
24,25,Любимка,NILETTO,30/08/2020
25,26,Девочка танцуй,Artik & Asti,30/08/2020
26,27,Грустный дэнс (feat. Артем Качер),Artik & Asti,30/08/2020
27,28,Djadja,Aya Nakamura,30/08/2020
28,29,Пряталась в ванной,Мари Краймбрери,30/08/2020
29,30,Луна не знает пути,Тайпан,30/08/2020
30,31,X.O,The Limba,30/08/2020
31,32,bad guy,Billie Eilish,30/08/2020
32,33,Август,Intelligency,30/08/2020
33,34,БЕГИ feat. Poët,Dj Smash,30/08/2020
34,35,Одуванчик,Тима Белорусских,30/08/2020
35,36,Take Off Panties,XOLERA,30/08/2020
36,37,ЯТЛ,Zivert,30/08/2020
37,38,Break My Heart,Dua Lipa,30/08/2020
38,39,неболей,Баста,30/08/2020
39,40,Kings & Queens,Ava Max,30/08/2020
40,41,Девочка-война,HammAli & Navai,30/08/2020
41,42,F..k That,Bastard!,30/08/2020
42,43,In My Mind,Dynoro,30/08/2020
43,44,Возьми мое сердце,Filatov,30/08/2020
44,45,Watermelon Sugar,Harry Styles,30/08/2020
45,46,NBA,RSAC,30/08/2020
46,47,ROCKSTAR,DaBaby,30/08/2020
47,48,Secrets,Regard,30/08/2020
48,49,Dynamite,BTS,30/08/2020
49,50,Smells Like Teen Spirit,Nirvana,30/08/2020
50,51,Toosie Slide,Drake,30/08/2020
51,52,everything i wanted,Billie Eilish,30/08/2020
52,53,WAP (feat. Megan Thee Stallion),Cardi B,30/08/2020
53,54,Trampoline,Shaed,30/08/2020
54,55,Give It Away,Filatov,30/08/2020
55,56,Salt,Ava Max,30/08/2020
56,57,UNO,Little Big,30/08/2020
57,58,Лей не жалей,Макс Барских,30/08/2020
58,59,Bande organisée,Jul,30/08/2020
59,60,Хочу перемен,Кино,30/08/2020
60,61,Higher Love,Kygo,30/08/2020
61,62,Двусмысленно,Zivert,30/08/2020
62,63,DEUTSCHLAND,Rammstein,30/08/2020
63,64,Don't Start Now,Dua Lipa,30/08/2020
64,65,Rain On Me,Lady Gaga,30/08/2020
65,66,Numb,Linkin Park,30/08/2020
66,67,Some Say,Nea,30/08/2020
67,68,August,Intelligency,30/08/2020
68,69,Savage Love (Laxed - Siren Beat),Jawsh 685,30/08/2020
69,70,Minor,Miyagi & Andy Panda,30/08/2020
70,71,Мне пох,Клава Кока,30/08/2020
71,72,Lose Control,Meduza,30/08/2020
72,73,Кукла колдуна,Король и Шут,30/08/2020
73,74,Любимый человек,ANIVAR,30/08/2020
74,75,МАЛЬЧИК,ФОГЕЛЬ,30/08/2020
75,76,Shine,Звонкий,30/08/2020
76,77,Ice Cream,BLACKPINK,30/08/2020
77,78,ПЛАКАЛА,KAZKA,30/08/2020
78,79,Лесник,Король и Шут,30/08/2020
79,80,Eye of the Tiger,Survivor,30/08/2020
80,81,THE BADDEST,K/DA,30/08/2020
81,82,Выхода нет,Сплин,30/08/2020
82,83,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,30/08/2020
83,84,"Мама, я танцую",#2Маши,30/08/2020
84,85,I Feel It Coming,The Weeknd,30/08/2020
85,86,Physical,Dua Lipa,30/08/2020
86,87,In the End,Linkin Park,30/08/2020
87,88,Losing My Religion,R.E.M.,30/08/2020
88,89,Beverly Hills,Zivert,30/08/2020
89,90,Там ревели горы,Miyagi & Andy Panda,30/08/2020
90,91,Seven Nation Army,The White Stripes,30/08/2020
91,92,Mr. Brightside,The Killers,30/08/2020
92,93,Nothing Else Matters,Metallica,30/08/2020
93,94,Believer,Imagine Dragons,30/08/2020
94,95,Supalonely,BENEE,30/08/2020
95,96,ДИКАЯ ПУМА,Юлианна Караулова,30/08/2020
96,97,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,30/08/2020
97,98,Звезда по имени Солнце,Кино,30/08/2020
98,99,ICE (feat. MORGENSHTERN),Morgenshtern,30/08/2020
99,100,Fendi,Rakhim,30/08/2020
100,1,Blinding Lights,The Weeknd,31/08/2020
101,2,Take Off Panties,XOLERA,31/08/2020
102,3,Юность,DaBro,31/08/2020
103,4,Сияй,Ramil',31/08/2020
104,5,Краш,Клава Кока,31/08/2020
105,6,MAMACITA,Black Eyed Peas,31/08/2020
106,7,Dance Monkey,Tones and I,31/08/2020
107,8,Roses (Imanbek Remix),SAINt JHN,31/08/2020
108,9,Поболело и прошло,Hensy,31/08/2020
109,10,Lovefool,twocolors,31/08/2020
110,11,Fly 2,Zivert,31/08/2020
111,12,ily (i love you baby),Surf Mesa,31/08/2020
112,13,Ride It,Regard,31/08/2020
113,14,Cadillac,Morgenshtern,31/08/2020
114,15,Life,Zivert,31/08/2020
115,16,Таблетка,Джаро & Ханза,31/08/2020
116,17,Lollipop,Gafur,31/08/2020
117,18,Комета,Jony,31/08/2020
118,19,Say So,Doja Cat,31/08/2020
119,20,Intihask,Hafex,31/08/2020
120,21,Breaking Me,Topic,31/08/2020
121,22,Двигаться,RaiM,31/08/2020
122,23,Ты беспощадна,Jony,31/08/2020
123,24,А если это любовь?,HammAli & Navai,31/08/2020
124,25,Плачу на техно,Cream Soda,31/08/2020
125,26,Любимка,NILETTO,31/08/2020
126,27,X.O,The Limba,31/08/2020
127,28,Пряталась в ванной,Мари Краймбрери,31/08/2020
128,29,Август,Intelligency,31/08/2020
129,30,bad guy,Billie Eilish,31/08/2020
130,31,Девочка танцуй,Artik & Asti,31/08/2020
131,32,БЕГИ feat. Poët,Dj Smash,31/08/2020
132,33,Djadja,Aya Nakamura,31/08/2020
133,34,неболей,Баста,31/08/2020
134,35,Луна не знает пути,Тайпан,31/08/2020
135,36,Грустный дэнс (feat. Артем Качер),Artik & Asti,31/08/2020
136,37,NBA,RSAC,31/08/2020
137,38,Одуванчик,Тима Белорусских,31/08/2020
138,39,Minor,Miyagi & Andy Panda,31/08/2020
139,40,Kings & Queens,Ava Max,31/08/2020
140,41,ЯТЛ,Zivert,31/08/2020
141,42,Watermelon Sugar,Harry Styles,31/08/2020
142,43,Девочка-война,HammAli & Navai,31/08/2020
143,44,WAP (feat. Megan Thee Stallion),Cardi B,31/08/2020
144,45,Trampoline,Shaed,31/08/2020
145,46,everything i wanted,Billie Eilish,31/08/2020
146,47,Smells Like Teen Spirit,Nirvana,31/08/2020
147,48,Break My Heart,Dua Lipa,31/08/2020
148,49,DEUTSCHLAND,Rammstein,31/08/2020
149,50,Rain On Me,Lady Gaga,31/08/2020
150,51,Toosie Slide,Drake,31/08/2020
151,52,F..k That,Bastard!,31/08/2020
152,53,Numb,Linkin Park,31/08/2020
153,54,Bande organisée,Jul,31/08/2020
154,55,Give It Away,Filatov,31/08/2020
155,56,Dynamite,BTS,31/08/2020
156,57,Confusion (Single Mix),Syncbat,31/08/2020
157,58,Secrets,Regard,31/08/2020
158,59,Возьми мое сердце,Filatov,31/08/2020
159,60,Don't Start Now,Dua Lipa,31/08/2020
160,61,Хочу перемен,Кино,31/08/2020
161,62,Confusion (Radio Mix),Syncbat,31/08/2020
162,63,ROCKSTAR,DaBaby,31/08/2020
163,64,МАЛЬЧИК,ФОГЕЛЬ,31/08/2020
164,65,Ice Cream,BLACKPINK,31/08/2020
165,66,Seven Nation Army,The White Stripes,31/08/2020
166,67,Eye of the Tiger,Survivor,31/08/2020
167,68,Там ревели горы,Miyagi & Andy Panda,31/08/2020
168,69,Some Say,Nea,31/08/2020
169,70,In My Mind,Dynoro,31/08/2020
170,71,UNO,Little Big,31/08/2020
171,72,Savage Love (Laxed - Siren Beat),Jawsh 685,31/08/2020
172,73,Мне пох,Клава Кока,31/08/2020
173,74,Двусмысленно,Zivert,31/08/2020
174,75,Over Now,Калвин Харрис,31/08/2020
175,76,Лесник,Король и Шут,31/08/2020
176,77,Physical,Dua Lipa,31/08/2020
177,78,Fendi,Rakhim,31/08/2020
178,79,Lose Control,Meduza,31/08/2020
179,80,How You Like That,BLACKPINK,31/08/2020
180,81,ICE (feat. MORGENSHTERN),Morgenshtern,31/08/2020
181,82,Shine,Звонкий,31/08/2020
182,83,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,31/08/2020
183,84,Лей не жалей,Макс Барских,31/08/2020
184,85,Supalonely,BENEE,31/08/2020
185,86,I Feel It Coming,The Weeknd,31/08/2020
186,87,Higher Love,Kygo,31/08/2020
187,88,August,Intelligency,31/08/2020
188,89,Кукла колдуна,Король и Шут,31/08/2020
189,90,THE BADDEST,K/DA,31/08/2020
190,91,ПЛАКАЛА,KAZKA,31/08/2020
191,92,Head & Heart (feat. MNEK),Joel Corry,31/08/2020
192,93,In the End,Linkin Park,31/08/2020
193,94,Выхода нет,Сплин,31/08/2020
194,95,Highway to Hell,AC/DC,31/08/2020
195,96,Believer,Imagine Dragons,31/08/2020
196,97,Salt,Ava Max,31/08/2020
197,98,Losing My Religion,R.E.M.,31/08/2020
198,99,Mr. Brightside,The Killers,31/08/2020
199,100,Nothing Else Matters,Metallica,31/08/2020
200,1,Take Off Panties,XOLERA,03/09/2020
201,2,Blinding Lights,The Weeknd,03/09/2020
202,3,Юность,DaBro,03/09/2020
203,4,Roses (Imanbek Remix),SAINt JHN,03/09/2020
204,5,Dance Monkey,Tones and I,03/09/2020
205,6,Краш,Клава Кока,03/09/2020
206,7,MAMACITA,Black Eyed Peas,03/09/2020
207,8,Сияй,Ramil',03/09/2020
208,9,Lovefool,twocolors,03/09/2020
209,10,Поболело и прошло,Hensy,03/09/2020
210,11,Fly 2,Zivert,03/09/2020
211,12,ily (i love you baby),Surf Mesa,03/09/2020
212,13,Ride It,Regard,03/09/2020
213,14,Life,Zivert,03/09/2020
214,15,Breaking Me,Topic,03/09/2020
215,16,Lollipop,Gafur,03/09/2020
216,17,Intihask,Hafex,03/09/2020
217,18,Say So,Doja Cat,03/09/2020
218,19,Комета,Jony,03/09/2020
219,20,Таблетка,Джаро & Ханза,03/09/2020
220,21,Ты беспощадна,Jony,03/09/2020
221,22,Cadillac,Morgenshtern,03/09/2020
222,23,Плачу на техно,Cream Soda,03/09/2020
223,24,Двигаться,RaiM,03/09/2020
224,25,А если это любовь?,HammAli & Navai,03/09/2020
225,26,X.O,The Limba,03/09/2020
226,27,bad guy,Billie Eilish,03/09/2020
227,28,Kings & Queens,Ava Max,03/09/2020
228,29,БЕГИ feat. Poët,Dj Smash,03/09/2020
229,30,Любимка,NILETTO,03/09/2020
230,31,Пряталась в ванной,Мари Краймбрери,03/09/2020
231,32,Грустный дэнс (feat. Артем Качер),Artik & Asti,03/09/2020
232,33,Djadja,Aya Nakamura,03/09/2020
233,34,Девочка танцуй,Artik & Asti,03/09/2020
234,35,Август,Intelligency,03/09/2020
235,36,Одуванчик,Тима Белорусских,03/09/2020
236,37,неболей,Баста,03/09/2020
237,38,everything i wanted,Billie Eilish,03/09/2020
238,39,WAP (feat. Megan Thee Stallion),Cardi B,03/09/2020
239,40,DEUTSCHLAND,Rammstein,03/09/2020
240,41,Девочка-война,HammAli & Navai,03/09/2020
241,42,ЯТЛ,Zivert,03/09/2020
242,43,Break My Heart,Dua Lipa,03/09/2020
243,44,NBA,RSAC,03/09/2020
244,45,Minor,Miyagi & Andy Panda,03/09/2020
245,46,Луна не знает пути,Тайпан,03/09/2020
246,47,Bande organisée,Jul,03/09/2020
247,48,Toosie Slide,Drake,03/09/2020
248,49,Trampoline,Shaed,03/09/2020
249,50,Watermelon Sugar,Harry Styles,03/09/2020
250,51,Smells Like Teen Spirit,Nirvana,03/09/2020
251,52,Some Say,Nea,03/09/2020
252,53,Don't Start Now,Dua Lipa,03/09/2020
253,54,Rain On Me,Lady Gaga,03/09/2020
