,rank,title,artist,date
0,1,Юность,Dabro,31/08/2020
1,2,Сияй,Ramil',31/08/2020
2,3,Краш,Клава Кока & NILETTO,31/08/2020
3,4,Поболело и прошло,HENSY,31/08/2020
4,5,неболей,"Zivert, Баста",31/08/2020
5,6,А уже фсё (prod. by SOAHX),Mitchel,31/08/2020
6,7,Cadillac,"MORGENSHTERN, Элджей",31/08/2020
7,8,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,31/08/2020
8,9,Lollipop,"Gafur, JONY",31/08/2020
9,10,Твой поцелуй,"Асия, NЮ",31/08/2020
10,11,X.O,"The Limba, Andro",31/08/2020
11,12,На тебя смотрю,"Jah Khalib, ВесЪ",31/08/2020
12,13,Lovefool,twocolors,31/08/2020
13,14,Плачу на техно,"Cream Soda, Хлеб",31/08/2020
14,15,Blinding Lights,The Weeknd,31/08/2020
15,16,А если это любовь?,HammAli & Navai,31/08/2020
16,17,Minor,Miyagi & Andy Panda,31/08/2020
17,18,Беги (feat. Poët),Dj Smash,31/08/2020
18,19,Не пускайте танцевать,"TIMRAN, Zell, Batrai, Aslai",31/08/2020
19,20,Fly 2,"Zivert, NILETTO",31/08/2020
20,21,Покинула чат,Клава Кока,31/08/2020
21,22,Французский поцелуй,Миша Марвин & Ханна,31/08/2020
22,23,"Девочка, танцуй",Artik & Asti,31/08/2020
23,24,ЯТЛ,Zivert,31/08/2020
24,25,Спой,Миша Марвин feat. Мот,31/08/2020
25,26,Fendi,Rakhim,31/08/2020
26,27,Ананасовый сироп,Natan & Ганвест,31/08/2020
27,28,Двигаться,RaiM,31/08/2020
28,29,Там ревели горы,Miyagi & Andy Panda,31/08/2020
29,30,Любимка,NILETTO,31/08/2020
30,31,Ты беспощадна,JONY,31/08/2020
31,32,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,31/08/2020
32,33,UNO,Little Big,31/08/2020
33,34,August,Intelligency,31/08/2020
34,35,Тепло,Макс Корж,31/08/2020
35,36,Малиновый закат (Remix),"Lvnx, ANAMUN",31/08/2020
36,37,Комета,JONY,31/08/2020
37,38,На своём вайбе,"Jah Khalib, GUF",31/08/2020
38,39,Луна не знает пути,"Тайпан, Agunda",31/08/2020
39,40,Credo,Zivert,31/08/2020
40,41,Beverly Hills,Zivert,31/08/2020
41,42,Прятки,HammAli & Navai,31/08/2020
42,43,Океан,Мари Краймбрери,31/08/2020
43,44,Все мимо,Artik & Asti,31/08/2020
44,45,Life,Zivert,31/08/2020
45,46,Зачем топтать мою любовь,"DJ Nejtrino, ELIA",31/08/2020
46,47,Пикачу,Mia Boyka & ЕГОР ШИП,31/08/2020
47,48,В последний раз,Тима Белорусских,31/08/2020
48,49,Грустный дэнс,"Artik & Asti, Артём Качер",31/08/2020
49,50,Не смогу,"VERBEE, KARA KROSS",31/08/2020
50,51,Hypnodancer,Little Big,31/08/2020
51,52,Dance Monkey,Tones And I,31/08/2020
52,53,#ПеретанцуйМеня,Артур Пирожков,31/08/2020
53,54,F..k that,Bastard!,31/08/2020
54,55,ICE,MORGENSHTERN,31/08/2020
55,56,Таблетка,"Джаро & Ханза, kavabanga Depo kolibri",31/08/2020
56,57,Зелёные волны,Zivert,31/08/2020
57,58,По кайфу,Олег Кензов,31/08/2020
58,59,Kings & Queens,Ava Max,31/08/2020
59,60,Ну чё ты такой хороший?,Асия,31/08/2020
60,61,BALENCIAGA,FILV,31/08/2020
61,62,Вали,Канги,31/08/2020
62,63,Пряталась в ванной,Мари Краймбрери,31/08/2020
63,64,Выхода нет,Сплин,31/08/2020
64,65,Золото,Супер Жорик,31/08/2020
65,66,Небесные розы,JONY,31/08/2020
66,67,Kosandra,Miyagi & Andy Panda,31/08/2020
67,68,ВЕЧЕРиНОЧКА,"MONATIK, Вера Брежнева",31/08/2020
68,69,I Got Love,"Miyagi & Эндшпиль, Рем Дигга",31/08/2020
69,70,Сансара,"Баста, Скриптонит, Сергей Бобунец, Диана Арбенина, Ант, SunSay",31/08/2020
70,71,Over Now,"Calvin Harris, The Weeknd",31/08/2020
71,72,Кукла колдуна,Король и Шут,31/08/2020
72,73,Перемен,КИНО,31/08/2020
73,74,Положение,"Dior, Samo & ID",31/08/2020
74,75,ily,"Surf Mesa, Emilee",31/08/2020
75,76,A Million On My Soul (Remix),"Moses, EMR3YGUL, Alexiane",31/08/2020
76,77,Меня не будет,"ANIKV, SALUKI",31/08/2020
77,78,Под гипнозом,Artik & Asti,31/08/2020
78,79,Кометы,polnalyubvi,31/08/2020
79,80,ВЕСНУШКИ,Тима Белорусских,31/08/2020
80,81,Нежность,Mary Gu,31/08/2020
81,82,Lonely,"Макс Барских, Джаро",31/08/2020
82,83,Ураган,"GUF, Murovei, V $ X V PRiNCE",31/08/2020
83,84,Времена,Макс Корж,31/08/2020
84,85,Numb,Linkin Park,31/08/2020
85,86,Если бы не ты,"Nebezao, NЮ",31/08/2020
86,87,Tacos,Little Big,31/08/2020
87,88,Психушка,Karna.val,31/08/2020
88,89,Девочка-война,HammAli & Navai,31/08/2020
89,90,Чувства,Artik & Asti,31/08/2020
90,91,Relax,Junona Boys,31/08/2020
91,92,2 типа людей,Макс Корж,31/08/2020
92,93,In The End (Mellen Gi Remix),"Tommee Profitt, Fleurie, Mellen Gi",31/08/2020
93,94,Камин,"EMIN, JONY",31/08/2020
94,95,Мадам,"JONY, Andro",31/08/2020
95,96,Босая,#2Маши,31/08/2020
96,97,Прыгну со скалы,Король и Шут,31/08/2020
97,98,Believer,Imagine Dragons,31/08/2020
98,99,Лесник,Король и Шут,31/08/2020
99,100,Ты пари,JONY,31/08/2020
100,1,Юность,Dabro,01/09/2020
101,2,Сияй,Ramil',01/09/2020
102,3,Поболело и прошло,HENSY,01/09/2020
103,4,Краш,Клава Кока & NILETTO,01/09/2020
104,5,неболей,"Zivert, Баста",01/09/2020
105,6,Cadillac,"MORGENSHTERN, Элджей",01/09/2020
106,7,А уже фсё (prod. by SOAHX),Mitchel,01/09/2020
107,8,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,01/09/2020
108,9,Lollipop,"Gafur, JONY",01/09/2020
109,10,X.O,"The Limba, Andro",01/09/2020
110,11,Blinding Lights,The Weeknd,01/09/2020
111,12,Беги (feat. Poët),Dj Smash,01/09/2020
112,13,Minor,Miyagi & Andy Panda,01/09/2020
113,14,Твой поцелуй,"Асия, NЮ",01/09/2020
114,15,Lovefool,twocolors,01/09/2020
115,16,А если это любовь?,HammAli & Navai,01/09/2020
116,17,Плачу на техно,"Cream Soda, Хлеб",01/09/2020
117,18,Не пускайте танцевать,"TIMRAN, Zell, Batrai, Aslai",01/09/2020
118,19,Fly 2,"Zivert, NILETTO",01/09/2020
119,20,На тебя смотрю,"Jah Khalib, ВесЪ",01/09/2020
120,21,Покинула чат,Клава Кока,01/09/2020
121,22,Французский поцелуй,Миша Марвин & Ханна,01/09/2020
122,23,Fendi,Rakhim,01/09/2020
123,24,"Девочка, танцуй",Artik & Asti,01/09/2020
124,25,ЯТЛ,Zivert,01/09/2020
125,26,Там ревели горы,Miyagi & Andy Panda,01/09/2020
126,27,Ананасовый сироп,Natan & Ганвест,01/09/2020
127,28,Спой,Миша Марвин feat. Мот,01/09/2020
128,29,Ты беспощадна,JONY,01/09/2020
129,30,Двигаться,RaiM,01/09/2020
130,31,Тепло,Макс Корж,01/09/2020
131,32,На своём вайбе,"Jah Khalib, GUF",01/09/2020
132,33,Малиновый закат (Remix),"Lvnx, ANAMUN",01/09/2020
133,34,UNO,Little Big,01/09/2020
134,35,Любимка,NILETTO,01/09/2020
135,36,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,01/09/2020
136,37,August,Intelligency,01/09/2020
137,38,Луна не знает пути,"Тайпан, Agunda",01/09/2020
138,39,Зачем топтать мою любовь,"DJ Nejtrino, ELIA",01/09/2020
139,40,Комета,JONY,01/09/2020
140,41,Все мимо,Artik & Asti,01/09/2020
141,42,Океан,Мари Краймбрери,01/09/2020
142,43,Beverly Hills,Zivert,01/09/2020
143,44,Прятки,HammAli & Navai,01/09/2020
144,45,Пикачу,Mia Boyka & ЕГОР ШИП,01/09/2020
145,46,Credo,Zivert,01/09/2020
146,47,Не смогу,"VERBEE, KARA KROSS",01/09/2020
147,48,Вали,Канги,01/09/2020
148,49,ICE,MORGENSHTERN,01/09/2020
149,50,Life,Zivert,01/09/2020
150,51,Ну чё ты такой хороший?,Асия,01/09/2020
151,52,В последний раз,Тима Белорусских,01/09/2020
152,53,Hypnodancer,Little Big,01/09/2020
153,54,Грустный дэнс,"Artik & Asti, Артём Качер",01/09/2020
154,55,Таблетка,"Джаро & Ханза, kavabanga Depo kolibri",01/09/2020
155,56,Пряталась в ванной,Мари Краймбрери,01/09/2020
156,57,F..k that,Bastard!,01/09/2020
157,58,Kings & Queens,Ava Max,01/09/2020
158,59,Dance Monkey,Tones And I,01/09/2020
159,60,#ПеретанцуйМеня,Артур Пирожков,01/09/2020
160,61,Зелёные волны,Zivert,01/09/2020
161,62,Kosandra,Miyagi & Andy Panda,01/09/2020
162,63,Ураган,"GUF, Murovei, V $ X V PRiNCE",01/09/2020
163,64,BALENCIAGA,FILV,01/09/2020
164,65,Небесные розы,JONY,01/09/2020
165,66,A Million On My Soul (Remix),"Moses, EMR3YGUL, Alexiane",01/09/2020
166,67,Золото,Супер Жорик,01/09/2020
167,68,I Got Love,"Miyagi & Эндшпиль, Рем Дигга",01/09/2020
168,69,Выхода нет,Сплин,01/09/2020
169,70,Кукла колдуна,Король и Шут,01/09/2020
170,71,Психушка,Karna.val,01/09/2020
171,72,Кометы,polnalyubvi,01/09/2020
172,73,По кайфу,Олег Кензов,01/09/2020
173,74,Времена,Макс Корж,01/09/2020
174,75,ВЕЧЕРиНОЧКА,"MONATIK, Вера Брежнева",01/09/2020
175,76,Меня не будет,"ANIKV, SALUKI",01/09/2020
176,77,Положение,"Dior, Samo & ID",01/09/2020
177,78,ily,"Surf Mesa, Emilee",01/09/2020
178,79,Чувства,Artik & Asti,01/09/2020
179,80,Сансара,"Баста, Скриптонит, Сергей Бобунец, Диана Арбенина, Ант, SunSay",01/09/2020
180,81,Если бы не ты,"Nebezao, NЮ",01/09/2020
181,82,Камин,"EMIN, JONY",01/09/2020
182,83,Мадам,"JONY, Andro",01/09/2020
183,84,Под гипнозом,Artik & Asti,01/09/2020
184,85,ВЕСНУШКИ,Тима Белорусских,01/09/2020
185,86,2 типа людей,Макс Корж,01/09/2020
186,87,Numb,Linkin Park,01/09/2020
187,88,Relax,Junona Boys,01/09/2020
188,89,Перемен,КИНО,01/09/2020
189,90,Ты пари,JONY,01/09/2020
190,91,Мир сошёл с ума,JONY,01/09/2020
191,92,In The End (Mellen Gi Remix),"Tommee Profitt, Fleurie, Mellen Gi",01/09/2020
192,93,Нежность,Mary Gu,01/09/2020
193,94,Лесник,Король и Шут,01/09/2020
194,95,Позови меня с собой (Cover),TSOY,01/09/2020
195,96,Over Now,"Calvin Harris, The Weeknd",01/09/2020
196,97,Lonely,"Макс Барских, Джаро",01/09/2020
197,98,Кайфули,Ганвест,01/09/2020
198,99,Девочка-война,HammAli & Navai,01/09/2020
199,100,РАТАТАТАТА,"MORGENSHTERN, Витя АК",01/09/2020
200,1,Юность,Dabro,02/09/2020
201,2,Сияй,Ramil',02/09/2020
202,3,Краш,Клава Кока & NILETTO,02/09/2020
203,4,Поболело и прошло,HENSY,02/09/2020
204,5,неболей,"Zivert, Баста",02/09/2020
205,6,А уже фсё (prod. by SOAHX),Mitchel,02/09/2020
206,7,Cadillac,"MORGENSHTERN, Элджей",02/09/2020
207,8,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,02/09/2020
208,9,Lollipop,"Gafur, JONY",02/09/2020
209,10,Blinding Lights,The Weeknd,02/09/2020
210,11,А если это любовь?,HammAli & Navai,02/09/2020
211,12,X.O,"The Limba, Andro",02/09/2020
212,13,Беги (feat. Poët),Dj Smash,02/09/2020
213,14,Плачу на техно,"Cream Soda, Хлеб",02/09/2020
214,15,Minor,Miyagi & Andy Panda,02/09/2020
215,16,Не пускайте танцевать,"TIMRAN, Zell, Batrai, Aslai",02/09/2020
216,17,Lovefool,twocolors,02/09/2020
217,18,Твой поцелуй,"Асия, NЮ",02/09/2020
218,19,Fly 2,"Zivert, NILETTO",02/09/2020
219,20,"Девочка, танцуй",Artik & Asti,02/09/2020
220,21,Покинула чат,Клава Кока,02/09/2020
221,22,Французский поцелуй,Миша Марвин & Ханна,02/09/2020
222,23,ЯТЛ,Zivert,02/09/2020
223,24,Там ревели горы,Miyagi & Andy Panda,02/09/2020
224,25,Fendi,Rakhim,02/09/2020
225,26,На тебя смотрю,"Jah Khalib, ВесЪ",02/09/2020
226,27,Ты беспощадна,JONY,02/09/2020
227,28,Ананасовый сироп,Natan & Ганвест,02/09/2020
228,29,На своём вайбе,"Jah Khalib, GUF",02/09/2020
229,30,Двигаться,RaiM,02/09/2020
230,31,Любимка,NILETTO,02/09/2020
231,32,Тепло,Макс Корж,02/09/2020
232,33,Лига легенд,Noize MC,02/09/2020
233,34,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,02/09/2020
234,35,Спой,Миша Марвин feat. Мот,02/09/2020
235,36,UNO,Little Big,02/09/2020
