,Unnamed: 0,rank,title,artist,time
0,0.0,1,Юность,Dabro,08/09/2020 14:31:21
1,1.0,2,Lollipop,"Элджей, MORGENSHTERN",08/09/2020 14:31:21
2,2.0,3,Сияй,Ramil',08/09/2020 14:31:21
3,3.0,4,Краш,Клава Кока & NILETTO,08/09/2020 14:31:21
4,4.0,5,Поболело и прошло,HENSY,08/09/2020 14:31:21
5,5.0,6,Coco L'Eau,"Егор Крид, The Limba",08/09/2020 14:31:21
6,6.0,7,неболей,"Zivert, Баста",08/09/2020 14:31:21
7,7.0,8,Если тебе будет грустно,"Rauf & Faik, NILETTO",08/09/2020 14:31:21
8,8.0,9,Беги (feat. Poët),Dj Smash,08/09/2020 14:31:21
9,9.0,10,А уже фсё (prod. by SOAHX),Mitchel,08/09/2020 14:31:21
10,10.0,11,Cadillac,"MORGENSHTERN, Элджей",08/09/2020 14:31:21
11,11.0,12,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,08/09/2020 14:31:21
12,12.0,13,Lollipop,"Gafur, JONY",08/09/2020 14:31:21
13,13.0,14,Blinding Lights,The Weeknd,08/09/2020 14:31:21
14,14.0,15,Не пускайте танцевать,"TIMRAN, Zell, Batrai, Aslai",08/09/2020 14:31:21
15,15.0,16,X.O,"The Limba, Andro",08/09/2020 14:31:21
16,16.0,17,Lovefool,twocolors,08/09/2020 14:31:21
17,17.0,18,А если это любовь?,HammAli & Navai,08/09/2020 14:31:21
18,18.0,19,Minor,Miyagi & Andy Panda,08/09/2020 14:31:21
19,19.0,20,Плачу на техно,"Cream Soda, Хлеб",08/09/2020 14:31:21
20,20.0,21,Fly 2,"Zivert, NILETTO",08/09/2020 14:31:21
21,21.0,22,Твой поцелуй,"Асия, NЮ",08/09/2020 14:31:21
22,22.0,23,Французский поцелуй,Миша Марвин & Ханна,08/09/2020 14:31:21
23,23.0,24,"Девочка, танцуй",Artik & Asti,08/09/2020 14:31:21
24,24.0,25,Покинула чат,Клава Кока,08/09/2020 14:31:21
25,25.0,26,Fendi,Rakhim,08/09/2020 14:31:21
26,26.0,27,ЯТЛ,Zivert,08/09/2020 14:31:21
27,27.0,28,Там ревели горы,Miyagi & Andy Panda,08/09/2020 14:31:21
28,28.0,29,Лето на ветер,"GUF, Кравц",08/09/2020 14:31:21
29,29.0,30,Двигаться,RaiM,08/09/2020 14:31:21
30,30.0,31,Ананасовый сироп,Natan & Ганвест,08/09/2020 14:31:21
31,31.0,32,Ты беспощадна,JONY,08/09/2020 14:31:21
32,32.0,33,"ТЫ КРУЧЕ, ЧЕМ...",GAYAZOV$ BROTHER$,08/09/2020 14:31:21
33,33.0,34,Комета,JONY,08/09/2020 14:31:21
34,34.0,35,August,Intelligency,08/09/2020 14:31:21
35,35.0,36,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,08/09/2020 14:31:21
36,36.0,37,Все мимо,Artik & Asti,08/09/2020 14:31:21
37,37.0,38,Любимка,NILETTO,08/09/2020 14:31:21
38,38.0,39,UNO,Little Big,08/09/2020 14:31:21
39,39.0,40,Тепло,Макс Корж,08/09/2020 14:31:21
40,40.0,41,Пикачу,Mia Boyka & ЕГОР ШИП,08/09/2020 14:31:21
41,41.0,42,Прятки,HammAli & Navai,08/09/2020 14:31:21
42,42.0,43,Credo,Zivert,08/09/2020 14:31:21
43,43.0,44,Океан,Мари Краймбрери,08/09/2020 14:31:21
44,44.0,45,Зачем топтать мою любовь,"DJ Nejtrino, Elia",08/09/2020 14:31:21
45,45.0,46,Beverly Hills,Zivert,08/09/2020 14:31:21
46,46.0,47,ERRDAY,Big Baby Tape,08/09/2020 14:31:21
47,47.0,48,Луна не знает пути,"Тайпан, Agunda",08/09/2020 14:31:21
48,48.0,49,Малиновый закат (Remix),"Lvnx, ANAMUN",08/09/2020 14:31:21
49,49.0,50,F..k that,Bastard!,08/09/2020 14:31:21
50,50.0,51,На своём вайбе,"Jah Khalib, GUF",08/09/2020 14:31:21
51,51.0,52,Вали,Канги,08/09/2020 14:31:21
52,52.0,53,Фаталити,"KAREENA, Елена Темникова",08/09/2020 14:31:21
53,53.0,54,Life,Zivert,08/09/2020 14:31:21
54,54.0,55,Kings & Queens,Ava Max,08/09/2020 14:31:21
55,55.0,56,Не смогу,"VERBEE, KARA KROSS",08/09/2020 14:31:21
56,56.0,57,Таблетка,"Джаро & Ханза, kavabanga Depo kolibri",08/09/2020 14:31:21
57,57.0,58,Грустный дэнс,"Artik & Asti, Артём Качер",08/09/2020 14:31:21
58,58.0,59,Ну чё ты такой хороший?,Асия,08/09/2020 14:31:21
59,59.0,60,Hypnodancer,Little Big,08/09/2020 14:31:21
60,60.0,61,Кукла колдуна,Король и Шут,08/09/2020 14:31:21
61,61.0,62,Выхода нет,Сплин,08/09/2020 14:31:21
62,62.0,63,A Million On My Soul (Remix),"Moses, EMR3YGUL, Alexiane",08/09/2020 14:31:21
63,63.0,64,ICE,MORGENSHTERN,08/09/2020 14:31:21
64,64.0,65,Пряталась в ванной,Мари Краймбрери,08/09/2020 14:31:21
65,65.0,66,BALENCIAGA,FILV,08/09/2020 14:31:21
66,66.0,67,Зелёные волны,Zivert,08/09/2020 14:31:21
67,67.0,68,Ураган,"GUF, Murovei, V $ X V PRiNCE",08/09/2020 14:31:21
68,68.0,69,Femme Like U,"Monaldin, Emma Peters",08/09/2020 14:31:21
69,69.0,70,В последний раз,Тима Белорусских,08/09/2020 14:31:21
70,70.0,71,Психушка,Karna.val,08/09/2020 14:31:21
71,71.0,72,На тебя смотрю,"Jah Khalib, ВесЪ",08/09/2020 14:31:21
72,72.0,73,Kosandra,Miyagi & Andy Panda,08/09/2020 14:31:21
73,73.0,74,Кометы,polnalyubvi,08/09/2020 14:31:21
74,74.0,75,Сансара,"Баста, Скриптонит, Сергей Бобунец, Диана Арбенина, Ант, SunSay",08/09/2020 14:31:21
75,75.0,76,I Got Love,"Miyagi & Эндшпиль, Рем Дигга",08/09/2020 14:31:21
76,76.0,77,Мир сошёл с ума,JONY,08/09/2020 14:31:21
77,77.0,78,Dance Monkey,Tones And I,08/09/2020 14:31:21
78,78.0,79,ВЕЧЕРиНОЧКА,"MONATIK, Вера Брежнева",08/09/2020 14:31:21
79,79.0,80,Чувства,Artik & Asti,08/09/2020 14:31:21
80,80.0,81,Прыгну со скалы,Король и Шут,08/09/2020 14:31:21
81,81.0,82,Numb,Linkin Park,08/09/2020 14:31:21
82,82.0,83,Под гипнозом,Artik & Asti,08/09/2020 14:31:21
83,83.0,84,По кайфу,Олег Кензов,08/09/2020 14:31:21
84,84.0,85,Лесник,Король и Шут,08/09/2020 14:31:21
85,85.0,86,ОСТАНОВИТЕ МУЗЫКУ,ФОГЕЛЬ,08/09/2020 14:31:21
86,86.0,87,Меня не будет,"ANIKV, SALUKI",08/09/2020 14:31:21
87,87.0,88,ily,"Surf Mesa, Emilee",08/09/2020 14:31:21
88,88.0,89,Камин,"EMIN, JONY",08/09/2020 14:31:21
89,89.0,90,ПеретанцуйМеня (Remix),"Артур Пирожков, DJ Nejtrino",08/09/2020 14:31:21
90,90.0,91,Золото,Супер Жорик,08/09/2020 14:31:21
91,91.0,92,#ПеретанцуйМеня,Артур Пирожков,08/09/2020 14:31:21
92,92.0,93,In The End (Mellen Gi Remix),"Tommee Profitt, Fleurie, Mellen Gi",08/09/2020 14:31:21
93,93.0,94,2 типа людей,Макс Корж,08/09/2020 14:31:21
94,94.0,95,Втюрилась,дора,08/09/2020 14:31:21
95,95.0,96,"Мама, как быть?",Люся Чеботина,08/09/2020 14:31:21
96,96.0,97,Мадам,"JONY, Andro",08/09/2020 14:31:21
97,97.0,98,Минимум,"Фейджи, Ямаджи",08/09/2020 14:31:21
98,98.0,99,Спой,Миша Марвин feat. Мот,08/09/2020 14:31:21
99,99.0,100,Natalie Don't,RAYE,08/09/2020 14:31:21
100,100.0,1,Юность,Dabro,08/09/2020 14:31:46
101,101.0,2,Lollipop,"Элджей, MORGENSHTERN",08/09/2020 14:31:46
102,102.0,3,Сияй,Ramil',08/09/2020 14:31:46
103,103.0,4,Краш,Клава Кока & NILETTO,08/09/2020 14:31:46
104,104.0,5,Поболело и прошло,HENSY,08/09/2020 14:31:46
105,105.0,6,Coco L'Eau,"Егор Крид, The Limba",08/09/2020 14:31:46
106,106.0,7,неболей,"Zivert, Баста",08/09/2020 14:31:46
107,107.0,8,Если тебе будет грустно,"Rauf & Faik, NILETTO",08/09/2020 14:31:46
108,108.0,9,Беги (feat. Poët),Dj Smash,08/09/2020 14:31:46
109,109.0,10,А уже фсё (prod. by SOAHX),Mitchel,08/09/2020 14:31:46
110,110.0,11,Cadillac,"MORGENSHTERN, Элджей",08/09/2020 14:31:46
111,111.0,12,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,08/09/2020 14:31:46
112,112.0,13,Lollipop,"Gafur, JONY",08/09/2020 14:31:46
113,113.0,14,Blinding Lights,The Weeknd,08/09/2020 14:31:46
114,114.0,15,Не пускайте танцевать,"TIMRAN, Zell, Batrai, Aslai",08/09/2020 14:31:46
115,115.0,16,X.O,"The Limba, Andro",08/09/2020 14:31:46
116,116.0,17,Lovefool,twocolors,08/09/2020 14:31:46
117,117.0,18,А если это любовь?,HammAli & Navai,08/09/2020 14:31:46
118,118.0,19,Minor,Miyagi & Andy Panda,08/09/2020 14:31:46
119,119.0,20,Плачу на техно,"Cream Soda, Хлеб",08/09/2020 14:31:46
120,120.0,21,Fly 2,"Zivert, NILETTO",08/09/2020 14:31:46
121,121.0,22,Твой поцелуй,"Асия, NЮ",08/09/2020 14:31:46
122,122.0,23,Французский поцелуй,Миша Марвин & Ханна,08/09/2020 14:31:46
123,123.0,24,"Девочка, танцуй",Artik & Asti,08/09/2020 14:31:46
124,124.0,25,Покинула чат,Клава Кока,08/09/2020 14:31:46
125,125.0,26,Fendi,Rakhim,08/09/2020 14:31:46
126,126.0,27,ЯТЛ,Zivert,08/09/2020 14:31:46
127,127.0,28,Там ревели горы,Miyagi & Andy Panda,08/09/2020 14:31:46
128,128.0,29,Лето на ветер,"GUF, Кравц",08/09/2020 14:31:46
129,129.0,30,Двигаться,RaiM,08/09/2020 14:31:46
130,130.0,31,Ананасовый сироп,Natan & Ганвест,08/09/2020 14:31:46
131,131.0,32,Ты беспощадна,JONY,08/09/2020 14:31:46
132,132.0,33,"ТЫ КРУЧЕ, ЧЕМ...",GAYAZOV$ BROTHER$,08/09/2020 14:31:46
133,133.0,34,Комета,JONY,08/09/2020 14:31:46
134,134.0,35,August,Intelligency,08/09/2020 14:31:46
135,135.0,36,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,08/09/2020 14:31:46
136,136.0,37,Все мимо,Artik & Asti,08/09/2020 14:31:46
137,137.0,38,Любимка,NILETTO,08/09/2020 14:31:46
138,138.0,39,UNO,Little Big,08/09/2020 14:31:46
139,139.0,40,Тепло,Макс Корж,08/09/2020 14:31:46
140,140.0,41,Пикачу,Mia Boyka & ЕГОР ШИП,08/09/2020 14:31:46
141,141.0,42,Прятки,HammAli & Navai,08/09/2020 14:31:46
142,142.0,43,Credo,Zivert,08/09/2020 14:31:46
143,143.0,44,Океан,Мари Краймбрери,08/09/2020 14:31:46
