,rank,title,artist,date
0,1,БЕГИ (feat. Poët),DJ Smash,31/08/2020
1,2,неболей,Basta & Zivert,31/08/2020
2,3,Ты пари,JONY,31/08/2020
3,4,Юность,Dabro,31/08/2020
4,5,Сияй,Ramil',31/08/2020
5,6,Lollipop,Gafur & JONY,31/08/2020
6,7,Мир сошёл с ума,JONY,31/08/2020
7,8,Cadillac,MORGENSHTERN & Allj,31/08/2020
8,9,Поболело и прошло,HENSY,31/08/2020
9,10,Minor,Miyagi & Andy Panda,31/08/2020
10,11,X.O,The Limba & Andro,31/08/2020
11,12,Краш,Klava Koka & NILETTO,31/08/2020
12,13,WAP (feat. Megan Thee Stallion),Cardi B,31/08/2020
13,14,Fendi,Rakhim,31/08/2020
14,15,Твой поцелуй,Асия & NЮ,31/08/2020
15,16,А если это любовь?,HammAli & Navai,31/08/2020
16,17,Вали,Канги,31/08/2020
17,18,А уже фсё,Mitchel,31/08/2020
18,19,На своём вайбе (feat. Гуф),Jah Khalib,31/08/2020
19,20,Ты беспощадна,JONY,31/08/2020
20,21,Меня не будет (feat. SALUKI),ANIKV,31/08/2020
21,22,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,31/08/2020
22,23,А за окном дожди,JONY,31/08/2020
23,24,Там ревели горы,Miyagi & Andy Panda,31/08/2020
24,25,Ураган (feat. V $ X V PRiNCE),Guf & Murovei,31/08/2020
25,26,Нежность,Mary Gu,31/08/2020
26,27,Fly 2 (feat. NILETTO),Zivert,31/08/2020
27,28,Blinding Lights,The Weeknd,31/08/2020
28,29,Lovefool,twocolors,31/08/2020
29,30,Не смогу,VERBEE & KARA KROSS,31/08/2020
30,31,Плачу на техно,Cream Soda & Khleb,31/08/2020
31,32,Было или нет?,ANIKV & SALUKI,31/08/2020
32,33,ICE (feat. MORGENSHTERN),MORGENSHTERN,31/08/2020
33,34,ВЕЧЕРиНОЧКА,MONATIK & Вера Брежнева,31/08/2020
34,35,Девочка танцуй,Artik & Asti,31/08/2020
35,36,Lonely,Max Barskih & Джаро,31/08/2020
36,37,В последний раз,Тима Белорусских,31/08/2020
37,38,Небесные розы,JONY,31/08/2020
38,39,Boom Boom,LOBODA & PHARAOH,31/08/2020
39,40,Комета,JONY,31/08/2020
40,41,Ice Cream,BLACKPINK & Selena Gomez,31/08/2020
41,42,Океан,Mari Kraymbreri,31/08/2020
42,43,Забываю обещания,Andro,31/08/2020
43,44,Ей нравится,Lesha Svik,31/08/2020
44,45,Utopia,Miyagi & Andy Panda,31/08/2020
45,46,Тепло,Max Korzh,31/08/2020
46,47,Покинула чат,Klava Koka,31/08/2020
47,48,Французский поцелуй,Misha Marvin & Hanna,31/08/2020
48,49,F..k that,Bastard!,31/08/2020
49,50,Ананасовый сироп,Natan & Ганвест,31/08/2020
50,51,Yamakasi,Miyagi & Andy Panda,31/08/2020
51,52,Любимка,NILETTO,31/08/2020
52,53,Положение,DIOR & Samo & ID,31/08/2020
53,54,Август,Intelligency,31/08/2020
54,55,Бумажный дом,Mot,31/08/2020
55,56,Прятки,HammAli & Navai,31/08/2020
56,57,Dynamite,BTS,31/08/2020
57,58,Двигаться,Raim,31/08/2020
58,59,ЯТЛ,Zivert,31/08/2020
59,60,BALENCIAGA,FILV,31/08/2020
60,61,Девочка с картинки,Egor Kreed,31/08/2020
61,62,Не пускайте танцевать (feat. Aslai),"Timran, Zell & Batrai",31/08/2020
62,63,Минимум,Ямаджи & Фейджи,31/08/2020
63,64,Kosandra,Miyagi & Andy Panda,31/08/2020
64,65,Грустный дэнс (feat. Артём Качер),Artik & Asti,31/08/2020
65,66,Положение,Scriptonite,31/08/2020
66,67,Moskva lyubit...,Scriptonite,31/08/2020
67,68,Midnight Sky,Miley Cyrus,31/08/2020
68,69,I Got Love (feat. Рем Дигга),Miyagi & Эндшпиль,31/08/2020
69,70,Beverly Hills,Zivert,31/08/2020
70,71,Atlant,Miyagi & Andy Panda,31/08/2020
71,72,Credo,Zivert,31/08/2020
72,73,Tantra,Miyagi & Andy Panda,31/08/2020
73,74,Life,Zivert,31/08/2020
74,75,Все мимо,Artik & Asti,31/08/2020
75,76,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,31/08/2020
76,77,Таблетка,Джаро & Ханза & kavabanga Depo kolibri,31/08/2020
77,78,Kings & Queens,Ava Max,31/08/2020
78,79,911,Allj,31/08/2020
79,80,Камин (feat. JONY),EMIN,31/08/2020
80,81,Луна не знает пути,Тайпан & Agunda,31/08/2020
81,82,Brooklyn (feat. TumaniYO),Miyagi & Andy Panda,31/08/2020
82,83,Mira me bebè,Джаро & Ханза & Olga Buzova,31/08/2020
83,84,МАЛЬЧИК,ФОГЕЛЬ,31/08/2020
84,85,Mood (feat. iann dior),24kGoldn,31/08/2020
85,86,Пряталась в ванной,Mari Kraymbreri,31/08/2020
86,87,Дежавю,kizaru,31/08/2020
87,88,Забил,ATL,31/08/2020
88,89,Dance Monkey,Tones And I,31/08/2020
89,90,Мадам,JONY & Andro,31/08/2020
90,91,Зелёные волны,Zivert,31/08/2020
91,92,Времена,Max Korzh,31/08/2020
92,93,Сердце Лёд,Cream Soda,31/08/2020
93,94,Останься (feat. BMB SpaceKid),FEDUK,31/08/2020
94,95,Roses (Imanbek Remix),SAINt JHN,31/08/2020
95,96,По кайфу,Oleg Kenzov,31/08/2020
96,97,2 минуты,Markul,31/08/2020
97,98,#ПеретанцуйМеня,Arthur Pirozhkov,31/08/2020
