,rank,title,artist,week,raw_rank
0,1,БЕГИ (feat. Poët),DJ Smash,24/08/20 - 30/08/20,128.714
1,2,неболей,Basta & Zivert,24/08/20 - 30/08/20,128.857
2,3,Ты пари,JONY,24/08/20 - 30/08/20,129.0
3,4,Юность,Dabro,24/08/20 - 30/08/20,129.143
4,5,Сияй,Ramil',24/08/20 - 30/08/20,129.286
5,6,Lollipop,Gafur & JONY,24/08/20 - 30/08/20,129.429
6,7,Мир сошёл с ума,JONY,24/08/20 - 30/08/20,129.571
7,8,Cadillac,MORGENSHTERN & Allj,24/08/20 - 30/08/20,129.714
8,9,Поболело и прошло,HENSY,24/08/20 - 30/08/20,129.857
9,10,Minor,Miyagi & Andy Panda,24/08/20 - 30/08/20,130.0
10,11,X.O,The Limba & Andro,24/08/20 - 30/08/20,130.143
11,12,Краш,Klava Koka & NILETTO,24/08/20 - 30/08/20,130.286
12,13,WAP (feat. Megan Thee Stallion),Cardi B,24/08/20 - 30/08/20,130.429
13,14,Fendi,Rakhim,24/08/20 - 30/08/20,130.571
14,15,Твой поцелуй,Асия & NЮ,24/08/20 - 30/08/20,130.714
15,16,А если это любовь?,HammAli & Navai,24/08/20 - 30/08/20,130.857
16,17,Вали,Канги,24/08/20 - 30/08/20,131.0
17,18,А уже фсё,Mitchel,24/08/20 - 30/08/20,131.143
18,19,На своём вайбе (feat. Гуф),Jah Khalib,24/08/20 - 30/08/20,131.286
19,20,Ты беспощадна,JONY,24/08/20 - 30/08/20,131.429
20,21,Меня не будет (feat. SALUKI),ANIKV,24/08/20 - 30/08/20,131.571
21,22,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,24/08/20 - 30/08/20,131.714
22,23,А за окном дожди,JONY,24/08/20 - 30/08/20,131.857
23,24,Там ревели горы,Miyagi & Andy Panda,24/08/20 - 30/08/20,132.0
24,25,Ураган (feat. V $ X V PRiNCE),Guf & Murovei,24/08/20 - 30/08/20,132.143
25,26,Нежность,Mary Gu,24/08/20 - 30/08/20,132.286
26,27,Fly 2 (feat. NILETTO),Zivert,24/08/20 - 30/08/20,132.429
27,28,Blinding Lights,The Weeknd,24/08/20 - 30/08/20,132.571
28,29,Lovefool,twocolors,24/08/20 - 30/08/20,132.714
29,30,Не смогу,VERBEE & KARA KROSS,24/08/20 - 30/08/20,132.857
30,31,Плачу на техно,Cream Soda & Khleb,24/08/20 - 30/08/20,133.0
31,32,Было или нет?,ANIKV & SALUKI,24/08/20 - 30/08/20,133.143
32,33,ICE (feat. MORGENSHTERN),MORGENSHTERN,24/08/20 - 30/08/20,133.286
33,34,ВЕЧЕРиНОЧКА,MONATIK & Вера Брежнева,24/08/20 - 30/08/20,133.429
34,35,Девочка танцуй,Artik & Asti,24/08/20 - 30/08/20,133.571
35,36,Lonely,Max Barskih & Джаро,24/08/20 - 30/08/20,133.714
36,37,В последний раз,Тима Белорусских,24/08/20 - 30/08/20,133.857
37,38,Небесные розы,JONY,24/08/20 - 30/08/20,134.0
38,39,Boom Boom,LOBODA & PHARAOH,24/08/20 - 30/08/20,134.143
39,40,Комета,JONY,24/08/20 - 30/08/20,134.286
40,41,Ice Cream,BLACKPINK & Selena Gomez,24/08/20 - 30/08/20,134.429
41,42,Океан,Mari Kraymbreri,24/08/20 - 30/08/20,134.571
42,43,Забываю обещания,Andro,24/08/20 - 30/08/20,134.714
43,44,Ей нравится,Lesha Svik,24/08/20 - 30/08/20,134.857
44,45,Utopia,Miyagi & Andy Panda,24/08/20 - 30/08/20,135.0
45,46,Тепло,Max Korzh,24/08/20 - 30/08/20,135.143
46,47,Покинула чат,Klava Koka,24/08/20 - 30/08/20,135.286
47,48,Французский поцелуй,Misha Marvin & Hanna,24/08/20 - 30/08/20,135.429
48,49,F..k that,Bastard!,24/08/20 - 30/08/20,135.571
49,50,Ананасовый сироп,Natan & Ганвест,24/08/20 - 30/08/20,135.714
50,51,Yamakasi,Miyagi & Andy Panda,24/08/20 - 30/08/20,135.857
51,52,Любимка,NILETTO,24/08/20 - 30/08/20,136.0
52,53,Положение,DIOR & Samo & ID,24/08/20 - 30/08/20,136.143
53,54,Август,Intelligency,24/08/20 - 30/08/20,136.286
54,55,Бумажный дом,Mot,24/08/20 - 30/08/20,136.429
55,56,Прятки,HammAli & Navai,24/08/20 - 30/08/20,136.571
56,57,Dynamite,BTS,24/08/20 - 30/08/20,136.714
57,58,Двигаться,Raim,24/08/20 - 30/08/20,136.857
58,59,ЯТЛ,Zivert,24/08/20 - 30/08/20,137.0
59,60,BALENCIAGA,FILV,24/08/20 - 30/08/20,137.143
60,61,Девочка с картинки,Egor Kreed,24/08/20 - 30/08/20,137.286
61,62,Не пускайте танцевать (feat. Aslai),"Timran, Zell & Batrai",24/08/20 - 30/08/20,137.429
62,63,Минимум,Ямаджи & Фейджи,24/08/20 - 30/08/20,137.571
63,64,Kosandra,Miyagi & Andy Panda,24/08/20 - 30/08/20,137.714
64,65,Грустный дэнс (feat. Артём Качер),Artik & Asti,24/08/20 - 30/08/20,137.857
65,66,Положение,Scriptonite,24/08/20 - 30/08/20,138.0
66,67,Moskva lyubit...,Scriptonite,24/08/20 - 30/08/20,138.143
67,68,Midnight Sky,Miley Cyrus,24/08/20 - 30/08/20,138.286
68,69,I Got Love (feat. Рем Дигга),Miyagi & Эндшпиль,24/08/20 - 30/08/20,138.429
69,70,Beverly Hills,Zivert,24/08/20 - 30/08/20,138.571
70,71,Atlant,Miyagi & Andy Panda,24/08/20 - 30/08/20,138.714
71,72,Credo,Zivert,24/08/20 - 30/08/20,138.857
72,73,Tantra,Miyagi & Andy Panda,24/08/20 - 30/08/20,139.0
73,74,Life,Zivert,24/08/20 - 30/08/20,139.143
74,75,Все мимо,Artik & Asti,24/08/20 - 30/08/20,139.286
75,76,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,24/08/20 - 30/08/20,139.429
76,77,Таблетка,Джаро & Ханза & kavabanga Depo kolibri,24/08/20 - 30/08/20,139.571
77,78,Kings & Queens,Ava Max,24/08/20 - 30/08/20,139.714
78,79,911,Allj,24/08/20 - 30/08/20,139.857
79,80,Камин (feat. JONY),EMIN,24/08/20 - 30/08/20,140.0
80,81,Луна не знает пути,Тайпан & Agunda,24/08/20 - 30/08/20,140.143
81,82,Brooklyn (feat. TumaniYO),Miyagi & Andy Panda,24/08/20 - 30/08/20,140.286
82,83,Mira me bebè,Джаро & Ханза & Olga Buzova,24/08/20 - 30/08/20,140.429
83,84,МАЛЬЧИК,ФОГЕЛЬ,24/08/20 - 30/08/20,140.571
84,85,Mood (feat. iann dior),24kGoldn,24/08/20 - 30/08/20,140.714
85,86,Пряталась в ванной,Mari Kraymbreri,24/08/20 - 30/08/20,140.857
86,87,Дежавю,kizaru,24/08/20 - 30/08/20,141.0
87,88,Забил,ATL,24/08/20 - 30/08/20,141.143
88,89,Dance Monkey,Tones And I,24/08/20 - 30/08/20,141.286
89,90,Мадам,JONY & Andro,24/08/20 - 30/08/20,141.429
90,91,Зелёные волны,Zivert,24/08/20 - 30/08/20,141.571
91,92,Времена,Max Korzh,24/08/20 - 30/08/20,141.714
92,93,Сердце Лёд,Cream Soda,24/08/20 - 30/08/20,141.857
93,94,Останься (feat. BMB SpaceKid),FEDUK,24/08/20 - 30/08/20,142.0
94,95,Roses (Imanbek Remix),SAINt JHN,24/08/20 - 30/08/20,142.143
95,96,По кайфу,Oleg Kenzov,24/08/20 - 30/08/20,142.286
96,97,2 минуты,Markul,24/08/20 - 30/08/20,142.429
97,98,#ПеретанцуйМеня,Arthur Pirozhkov,24/08/20 - 30/08/20,142.571
98,99,Любовь,T-Fest,24/08/20 - 30/08/20,142.714
99,100,How You Like That,BLACKPINK,24/08/20 - 30/08/20,142.857
0,1,БЕГИ (feat. Poët),DJ Smash,28/08/20 - 03/09/20,64.857
1,2,неболей,Basta & Zivert,28/08/20 - 03/09/20,65.571
2,3,Ты пари,JONY,28/08/20 - 03/09/20,66.143
3,4,Юность,Dabro,28/08/20 - 03/09/20,67.0
4,5,Сияй,Ramil',28/08/20 - 03/09/20,67.0
5,6,Lollipop,Gafur & JONY,28/08/20 - 03/09/20,67.857
6,7,Мир сошёл с ума,JONY,28/08/20 - 03/09/20,68.571
7,8,Cadillac,MORGENSHTERN & Allj,28/08/20 - 03/09/20,69.714
8,9,Поболело и прошло,HENSY,28/08/20 - 03/09/20,69.857
9,10,Minor,Miyagi & Andy Panda,28/08/20 - 03/09/20,70.0
10,11,X.O,The Limba & Andro,28/08/20 - 03/09/20,71.0
11,12,WAP (feat. Megan Thee Stallion),Cardi B,28/08/20 - 03/09/20,71.286
12,13,Твой поцелуй,Асия & NЮ,28/08/20 - 03/09/20,71.286
13,14,Краш,Klava Koka & NILETTO,28/08/20 - 03/09/20,71.857
14,15,Fendi,Rakhim,28/08/20 - 03/09/20,73.0
15,16,А если это любовь?,HammAli & Navai,28/08/20 - 03/09/20,73.571
16,17,Вали,Канги,28/08/20 - 03/09/20,74.286
17,18,А уже фсё,Mitchel,28/08/20 - 03/09/20,74.857
18,19,На своём вайбе (feat. Гуф),Jah Khalib,28/08/20 - 03/09/20,75.0
19,20,Ты беспощадна,JONY,28/08/20 - 03/09/20,76.429
20,21,Меня не будет (feat. SALUKI),ANIKV,28/08/20 - 03/09/20,76.571
21,22,А за окном дожди,JONY,28/08/20 - 03/09/20,76.571
22,23,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,28/08/20 - 03/09/20,77.143
23,24,Там ревели горы,Miyagi & Andy Panda,28/08/20 - 03/09/20,78.143
24,25,Ураган (feat. V $ X V PRiNCE),Guf & Murovei,28/08/20 - 03/09/20,78.857
25,26,Нежность,Mary Gu,28/08/20 - 03/09/20,79.143
26,27,Blinding Lights,The Weeknd,28/08/20 - 03/09/20,80.143
27,28,Не смогу,VERBEE & KARA KROSS,28/08/20 - 03/09/20,80.714
28,29,Fly 2 (feat. NILETTO),Zivert,28/08/20 - 03/09/20,80.714
29,30,Lovefool,twocolors,28/08/20 - 03/09/20,81.286
30,31,Плачу на техно,Cream Soda & Khleb,28/08/20 - 03/09/20,82.857
31,32,Было или нет?,ANIKV & SALUKI,28/08/20 - 03/09/20,83.143
32,33,ICE (feat. MORGENSHTERN),MORGENSHTERN,28/08/20 - 03/09/20,83.143
33,34,В последний раз,Тима Белорусских,28/08/20 - 03/09/20,84.429
34,35,Девочка танцуй,Artik & Asti,28/08/20 - 03/09/20,85.286
35,36,ВЕЧЕРиНОЧКА,MONATIK & Вера Брежнева,28/08/20 - 03/09/20,85.429
36,37,Океан,Mari Kraymbreri,28/08/20 - 03/09/20,85.714
37,38,Ice Cream,BLACKPINK & Selena Gomez,28/08/20 - 03/09/20,87.0
38,39,Комета,JONY,28/08/20 - 03/09/20,87.714
39,40,Lonely,Max Barskih & Джаро,28/08/20 - 03/09/20,88.143
40,41,Boom Boom,LOBODA & PHARAOH,28/08/20 - 03/09/20,88.286
41,42,Небесные розы,JONY,28/08/20 - 03/09/20,88.571
42,43,Utopia,Miyagi & Andy Panda,28/08/20 - 03/09/20,88.714
43,44,Французский поцелуй,Misha Marvin & Hanna,28/08/20 - 03/09/20,89.857
44,45,Забываю обещания,Andro,28/08/20 - 03/09/20,90.0
45,46,Ей нравится,Lesha Svik,28/08/20 - 03/09/20,90.0
46,47,Тепло,Max Korzh,28/08/20 - 03/09/20,91.714
47,48,Минимум,Ямаджи & Фейджи,28/08/20 - 03/09/20,92.286
48,49,Покинула чат,Klava Koka,28/08/20 - 03/09/20,93.143
49,50,Yamakasi,Miyagi & Andy Panda,28/08/20 - 03/09/20,93.143
50,51,Не пускайте танцевать (feat. Aslai),"Timran, Zell & Batrai",28/08/20 - 03/09/20,93.857
51,52,Ананасовый сироп,Natan & Ганвест,28/08/20 - 03/09/20,94.0
52,53,Положение,DIOR & Samo & ID,28/08/20 - 03/09/20,94.714
53,54,Бумажный дом,Mot,28/08/20 - 03/09/20,95.0
54,55,Август,Intelligency,28/08/20 - 03/09/20,96.571
55,56,Любимка,NILETTO,28/08/20 - 03/09/20,96.857
56,57,Прятки,HammAli & Navai,28/08/20 - 03/09/20,97.0
57,58,Девочка с картинки,Egor Kreed,28/08/20 - 03/09/20,98.571
58,59,Двигаться,Raim,28/08/20 - 03/09/20,99.286
59,60,BALENCIAGA,FILV,28/08/20 - 03/09/20,100.429
60,61,ЯТЛ,Zivert,28/08/20 - 03/09/20,100.429
61,62,Kosandra,Miyagi & Andy Panda,28/08/20 - 03/09/20,100.429
62,63,Положение,Scriptonite,28/08/20 - 03/09/20,100.571
63,64,Moskva lyubit...,Scriptonite,28/08/20 - 03/09/20,101.429
64,65,Грустный дэнс (feat. Артём Качер),Artik & Asti,28/08/20 - 03/09/20,102.571
65,66,Atlant,Miyagi & Andy Panda,28/08/20 - 03/09/20,103.429
66,67,I Got Love (feat. Рем Дигга),Miyagi & Эндшпиль,28/08/20 - 03/09/20,104.429
67,68,Tantra,Miyagi & Andy Panda,28/08/20 - 03/09/20,104.571
68,69,Beverly Hills,Zivert,28/08/20 - 03/09/20,104.571
69,70,Midnight Sky,Miley Cyrus,28/08/20 - 03/09/20,104.857
70,71,Credo,Zivert,28/08/20 - 03/09/20,106.429
71,72,Все мимо,Artik & Asti,28/08/20 - 03/09/20,106.714
72,73,F..k that,Bastard!,28/08/20 - 03/09/20,107.286
73,74,Life,Zivert,28/08/20 - 03/09/20,108.143
74,75,Таблетка,Джаро & Ханза & kavabanga Depo kolibri,28/08/20 - 03/09/20,108.286
75,76,911,Allj,28/08/20 - 03/09/20,109.429
76,77,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,28/08/20 - 03/09/20,109.571
77,78,Камин (feat. JONY),EMIN,28/08/20 - 03/09/20,109.857
78,79,Brooklyn (feat. TumaniYO),Miyagi & Andy Panda,28/08/20 - 03/09/20,110.429
79,80,Kings & Queens,Ava Max,28/08/20 - 03/09/20,110.571
80,81,Дежавю,kizaru,28/08/20 - 03/09/20,112.143
81,82,Пряталась в ванной,Mari Kraymbreri,28/08/20 - 03/09/20,112.714
82,83,Mood (feat. iann dior),24kGoldn,28/08/20 - 03/09/20,113.286
83,84,МАЛЬЧИК,ФОГЕЛЬ,28/08/20 - 03/09/20,113.286
84,85,Mira me bebè,Джаро & Ханза & Olga Buzova,28/08/20 - 03/09/20,113.429
85,86,Луна не знает пути,Тайпан & Agunda,28/08/20 - 03/09/20,113.429
86,87,Забил,ATL,28/08/20 - 03/09/20,113.714
87,88,Dance Monkey,Tones And I,28/08/20 - 03/09/20,116.571
88,89,Мадам,JONY & Andro,28/08/20 - 03/09/20,116.857
89,90,Зелёные волны,Zivert,28/08/20 - 03/09/20,117.857
90,91,Roses (Imanbek Remix),SAINt JHN,28/08/20 - 03/09/20,119.143
91,92,На тебя смотрю,VesKaspiyskiy & Jah Khalib,28/08/20 - 03/09/20,120.714
92,93,Dynamite,BTS,28/08/20 - 03/09/20,123.429
93,94,Времена,Max Korzh,28/08/20 - 03/09/20,125.0
94,95,Мало нам,Miyagi & Andy Panda,28/08/20 - 03/09/20,125.857
95,96,Сердце Лёд,Cream Soda,28/08/20 - 03/09/20,125.857
96,97,Останься (feat. BMB SpaceKid),FEDUK,28/08/20 - 03/09/20,126.429
97,98,Любовь,T-Fest,28/08/20 - 03/09/20,128.143
98,99,3-е сентября,Mikhail Shufutinskiy,28/08/20 - 03/09/20,128.857
99,100,Втюрилась,dora,28/08/20 - 03/09/20,131.571
100,101,По щекам слёзы,КУЧЕР & JANAGA,28/08/20 - 03/09/20,134.0
101,102,#ПеретанцуйМеня,Arthur Pirozhkov,28/08/20 - 03/09/20,135.286
102,103,How You Like That,BLACKPINK,28/08/20 - 03/09/20,135.571
103,104,F..k That,Bastard!,28/08/20 - 03/09/20,135.571
104,105,Если тебе будет грустно,Rauf & Faik & NILETTO,28/08/20 - 03/09/20,136.857
105,106,Coco L'Eau,Egor Kreed & The Limba,28/08/20 - 03/09/20,140.429
106,107,Lollipop,Allj & MORGENSHTERN,28/08/20 - 03/09/20,141.857
107,108,Watermelon Sugar,Harry Styles,28/08/20 - 03/09/20,142.0
108,109,По кайфу,Oleg Kenzov,28/08/20 - 03/09/20,142.286
