,rank,title,artist,week,raw_rank
0,1,Вали,Канги,24/08/20 - 30/08/20,128.714
1,2,БЕГИ feat. Poët,Dj Smash,24/08/20 - 30/08/20,128.857
2,3,Сияй,Ramil’,24/08/20 - 30/08/20,129.0
3,4,Ты пари,JONY,24/08/20 - 30/08/20,129.143
4,5,Minor,Miyagi & Andy Panda,24/08/20 - 30/08/20,129.286
5,6,Не смогу,"VERBEE, KARA KROSS",24/08/20 - 30/08/20,129.429
6,7,Lollipop,"Gafur, JONY",24/08/20 - 30/08/20,129.571
7,8,Юность,Dabro,24/08/20 - 30/08/20,129.714
8,9,Мир сошёл с ума,JONY,24/08/20 - 30/08/20,129.857
9,10,Fendi,Rakhim,24/08/20 - 30/08/20,130.0
10,11,Там ревели горы,Miyagi & Andy Panda,24/08/20 - 30/08/20,130.143
11,12,Втюрилась,дора,24/08/20 - 30/08/20,130.286
12,13,Поболело и прошло,HENSY,24/08/20 - 30/08/20,130.429
13,14,Минимум,"Ямаджи, Фейджи",24/08/20 - 30/08/20,130.571
14,15,Твой поцелуй,"Асия, NЮ",24/08/20 - 30/08/20,130.714
15,16,Cadillac,"MORGENSHTERN, Элджей",24/08/20 - 30/08/20,130.857
16,17,На своём вайбе (feat. Гуф),Jah Khalib feat. Гуф,24/08/20 - 30/08/20,131.0
17,18,Изгибы твоего тела,Buga,24/08/20 - 30/08/20,131.143
18,19,X.O,"The Limba, Andro",24/08/20 - 30/08/20,131.286
19,20,Hollywood,MACAN,24/08/20 - 30/08/20,131.429
20,21,Тепло,Макс Корж,24/08/20 - 30/08/20,131.571
21,22,Ураган (feat. V $ X V PRiNCE),"Гуф, Murovei feat. V $ X V PRiNCE",24/08/20 - 30/08/20,131.714
22,23,А уже фсё,MITCHEL,24/08/20 - 30/08/20,131.857
23,24,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,24/08/20 - 30/08/20,132.0
24,25,Краш,"Клава Кока, NILETTO",24/08/20 - 30/08/20,132.143
25,26,неболей,"Баста, Zivert",24/08/20 - 30/08/20,132.286
26,27,Не пускайте танцевать,"TIMRAN, Zell, Batrai feat. Aslai",24/08/20 - 30/08/20,132.429
27,28,ICE (feat. MORGENSHTERN),MORGENSHTERN,24/08/20 - 30/08/20,132.571
28,29,Ананасовый сироп,"Natan, Ганвест",24/08/20 - 30/08/20,132.714
29,30,Да пошло всё,Мэвл,24/08/20 - 30/08/20,132.857
30,31,А если это любовь?,HammAli & Navai,24/08/20 - 30/08/20,133.0
31,32,Небесные розы,JONY,24/08/20 - 30/08/20,133.143
32,33,По щекам слёзы,"КУЧЕР, JANAGA",24/08/20 - 30/08/20,133.286
33,34,Таблетка,"Джаро & Ханза, kavabanga Depo kolibri",24/08/20 - 30/08/20,133.429
34,35,А за окном дожди,JONY,24/08/20 - 30/08/20,133.571
