,rank,title,artist,week,raw_rank
0,1,Юность,Dabro,24/08/20 - 30/08/20,128.714
1,2,Сияй,Ramil',24/08/20 - 30/08/20,128.857
2,3,Краш,Клава Кока & NILETTO,24/08/20 - 30/08/20,129.0
3,4,Поболело и прошло,HENSY,24/08/20 - 30/08/20,129.143
4,5,неболей,"Zivert, Баста",24/08/20 - 30/08/20,129.286
5,6,А уже фсё (prod. by SOAHX),Mitchel,24/08/20 - 30/08/20,129.429
6,7,Cadillac,"MORGENSHTERN, Элджей",24/08/20 - 30/08/20,129.571
7,8,"Я, ТЫ и МОРЕ",GAYAZOV$ BROTHER$,24/08/20 - 30/08/20,129.714
8,9,Lollipop,"Gafur, JONY",24/08/20 - 30/08/20,129.857
9,10,Твой поцелуй,"Асия, NЮ",24/08/20 - 30/08/20,130.0
10,11,X.O,"The Limba, Andro",24/08/20 - 30/08/20,130.143
11,12,На тебя смотрю,"Jah Khalib, ВесЪ",24/08/20 - 30/08/20,130.286
12,13,Lovefool,twocolors,24/08/20 - 30/08/20,130.429
13,14,Плачу на техно,"Cream Soda, Хлеб",24/08/20 - 30/08/20,130.571
14,15,Blinding Lights,The Weeknd,24/08/20 - 30/08/20,130.714
15,16,А если это любовь?,HammAli & Navai,24/08/20 - 30/08/20,130.857
16,17,Minor,Miyagi & Andy Panda,24/08/20 - 30/08/20,131.0
17,18,Беги (feat. Poët),Dj Smash,24/08/20 - 30/08/20,131.143
18,19,Не пускайте танцевать,"TIMRAN, Zell, Batrai, Aslai",24/08/20 - 30/08/20,131.286
19,20,Fly 2,"Zivert, NILETTO",24/08/20 - 30/08/20,131.429
20,21,Покинула чат,Клава Кока,24/08/20 - 30/08/20,131.571
21,22,Французский поцелуй,Миша Марвин & Ханна,24/08/20 - 30/08/20,131.714
22,23,"Девочка, танцуй",Artik & Asti,24/08/20 - 30/08/20,131.857
23,24,ЯТЛ,Zivert,24/08/20 - 30/08/20,132.0
24,25,Спой,Миша Марвин feat. Мот,24/08/20 - 30/08/20,132.143
25,26,Fendi,Rakhim,24/08/20 - 30/08/20,132.286
26,27,Ананасовый сироп,Natan & Ганвест,24/08/20 - 30/08/20,132.429
27,28,Двигаться,RaiM,24/08/20 - 30/08/20,132.571
28,29,Там ревели горы,Miyagi & Andy Panda,24/08/20 - 30/08/20,132.714
29,30,Любимка,NILETTO,24/08/20 - 30/08/20,132.857
30,31,Ты беспощадна,JONY,24/08/20 - 30/08/20,133.0
31,32,Увезите меня на Дип-хаус,GAYAZOV$ BROTHER$,24/08/20 - 30/08/20,133.143
32,33,UNO,Little Big,24/08/20 - 30/08/20,133.286
33,34,August,Intelligency,24/08/20 - 30/08/20,133.429
34,35,Тепло,Макс Корж,24/08/20 - 30/08/20,133.571
35,36,Малиновый закат (Remix),"Lvnx, ANAMUN",24/08/20 - 30/08/20,133.714
36,37,Комета,JONY,24/08/20 - 30/08/20,133.857
37,38,На своём вайбе,"Jah Khalib, GUF",24/08/20 - 30/08/20,134.0
38,39,Луна не знает пути,"Тайпан, Agunda",24/08/20 - 30/08/20,134.143
39,40,Credo,Zivert,24/08/20 - 30/08/20,134.286
40,41,Beverly Hills,Zivert,24/08/20 - 30/08/20,134.429
41,42,Прятки,HammAli & Navai,24/08/20 - 30/08/20,134.571
42,43,Океан,Мари Краймбрери,24/08/20 - 30/08/20,134.714
43,44,Все мимо,Artik & Asti,24/08/20 - 30/08/20,134.857
44,45,Life,Zivert,24/08/20 - 30/08/20,135.0
45,46,Зачем топтать мою любовь,"DJ Nejtrino, ELIA",24/08/20 - 30/08/20,135.143
46,47,Пикачу,Mia Boyka & ЕГОР ШИП,24/08/20 - 30/08/20,135.286
47,48,В последний раз,Тима Белорусских,24/08/20 - 30/08/20,135.429
48,49,Грустный дэнс,"Artik & Asti, Артём Качер",24/08/20 - 30/08/20,135.571
49,50,Не смогу,"VERBEE, KARA KROSS",24/08/20 - 30/08/20,135.714
50,51,Hypnodancer,Little Big,24/08/20 - 30/08/20,135.857
51,52,Dance Monkey,Tones And I,24/08/20 - 30/08/20,136.0
52,53,#ПеретанцуйМеня,Артур Пирожков,24/08/20 - 30/08/20,136.143
53,54,F..k that,Bastard!,24/08/20 - 30/08/20,136.286
54,55,ICE,MORGENSHTERN,24/08/20 - 30/08/20,136.429
55,56,Таблетка,"Джаро & Ханза, kavabanga Depo kolibri",24/08/20 - 30/08/20,136.571
56,57,Зелёные волны,Zivert,24/08/20 - 30/08/20,136.714
57,58,По кайфу,Олег Кензов,24/08/20 - 30/08/20,136.857
58,59,Kings & Queens,Ava Max,24/08/20 - 30/08/20,137.0
59,60,Ну чё ты такой хороший?,Асия,24/08/20 - 30/08/20,137.143
60,61,BALENCIAGA,FILV,24/08/20 - 30/08/20,137.286
61,62,Вали,Канги,24/08/20 - 30/08/20,137.429
62,63,Пряталась в ванной,Мари Краймбрери,24/08/20 - 30/08/20,137.571
63,64,Выхода нет,Сплин,24/08/20 - 30/08/20,137.714
64,65,Золото,Супер Жорик,24/08/20 - 30/08/20,137.857
65,66,Небесные розы,JONY,24/08/20 - 30/08/20,138.0
66,67,Kosandra,Miyagi & Andy Panda,24/08/20 - 30/08/20,138.143
67,68,ВЕЧЕРиНОЧКА,"MONATIK, Вера Брежнева",24/08/20 - 30/08/20,138.286
68,69,I Got Love,"Miyagi & Эндшпиль, Рем Дигга",24/08/20 - 30/08/20,138.429
69,70,Сансара,"Баста, Скриптонит, Сергей Бобунец, Диана Арбенина, Ант, SunSay",24/08/20 - 30/08/20,138.571
70,71,Over Now,"Calvin Harris, The Weeknd",24/08/20 - 30/08/20,138.714
71,72,Кукла колдуна,Король и Шут,24/08/20 - 30/08/20,138.857
72,73,Перемен,КИНО,24/08/20 - 30/08/20,139.0
73,74,Положение,"Dior, Samo & ID",24/08/20 - 30/08/20,139.143
74,75,ily,"Surf Mesa, Emilee",24/08/20 - 30/08/20,139.286
75,76,A Million On My Soul (Remix),"Moses, EMR3YGUL, Alexiane",24/08/20 - 30/08/20,139.429
76,77,Меня не будет,"ANIKV, SALUKI",24/08/20 - 30/08/20,139.571
77,78,Под гипнозом,Artik & Asti,24/08/20 - 30/08/20,139.714
78,79,Кометы,polnalyubvi,24/08/20 - 30/08/20,139.857
79,80,ВЕСНУШКИ,Тима Белорусских,24/08/20 - 30/08/20,140.0
80,81,Нежность,Mary Gu,24/08/20 - 30/08/20,140.143
81,82,Lonely,"Макс Барских, Джаро",24/08/20 - 30/08/20,140.286
82,83,Ураган,"GUF, Murovei, V $ X V PRiNCE",24/08/20 - 30/08/20,140.429
83,84,Времена,Макс Корж,24/08/20 - 30/08/20,140.571
84,85,Numb,Linkin Park,24/08/20 - 30/08/20,140.714
85,86,Если бы не ты,"Nebezao, NЮ",24/08/20 - 30/08/20,140.857
86,87,Tacos,Little Big,24/08/20 - 30/08/20,141.0
87,88,Психушка,Karna.val,24/08/20 - 30/08/20,141.143
88,89,Девочка-война,HammAli & Navai,24/08/20 - 30/08/20,141.286
89,90,Чувства,Artik & Asti,24/08/20 - 30/08/20,141.429
90,91,Relax,Junona Boys,24/08/20 - 30/08/20,141.571
91,92,2 типа людей,Макс Корж,24/08/20 - 30/08/20,141.714
92,93,In The End (Mellen Gi Remix),"Tommee Profitt, Fleurie, Mellen Gi",24/08/20 - 30/08/20,141.857
93,94,Камин,"EMIN, JONY",24/08/20 - 30/08/20,142.0
94,95,Мадам,"JONY, Andro",24/08/20 - 30/08/20,142.143
95,96,Босая,#2Маши,24/08/20 - 30/08/20,142.286
96,97,Прыгну со скалы,Король и Шут,24/08/20 - 30/08/20,142.429
97,98,Believer,Imagine Dragons,24/08/20 - 30/08/20,142.571
98,99,Лесник,Король и Шут,24/08/20 - 30/08/20,142.714
99,100,Ты пари,JONY,24/08/20 - 30/08/20,142.857
