,rank,title,artist,date,streams,week
0,1,Пикачу (feat. Egor Ship),Миа Бойка,31/08/2020,5.4M,24/08/20 - 30/08/20
1,2,Dynamite,BTS,31/08/2020,4.81M,24/08/20 - 30/08/20
2,3,Tacos,Little Big,31/08/2020,4.44M,24/08/20 - 30/08/20
3,4,Юность,Dabro,31/08/2020,4.3M,24/08/20 - 30/08/20
4,5,Краш (Клава Кока & NILETTO),Клава Кока,31/08/2020,3.54M,24/08/20 - 30/08/20
5,6,Cadillac (MORGENSHTERN & Элджей),MORGENSHTERN,31/08/2020,3.03M,24/08/20 - 30/08/20
6,7,Hypnodancer,Little Big,31/08/2020,1.95M,24/08/20 - 30/08/20
7,8,Любимка,NILETTO,31/08/2020,1.7M,24/08/20 - 30/08/20
8,9,Поболело и прошло,HENSY,31/08/2020,1.54M,24/08/20 - 30/08/20
9,10,Uno,Little Big,31/08/2020,1.49M,24/08/20 - 30/08/20
10,11,Золото,Супер Жорик,31/08/2020,1.48M,24/08/20 - 30/08/20
11,12,Перетанцуй меня,Артур Пирожков,31/08/2020,1.41M,24/08/20 - 30/08/20
12,13,Сияй,Ramil’,31/08/2020,1.39M,24/08/20 - 30/08/20
13,14,Покинула чат,Клава Кока,31/08/2020,1.36M,24/08/20 - 30/08/20
14,15,ICE,MORGENSHTERN,31/08/2020,1.24M,24/08/20 - 30/08/20
15,16,X.O (The Limba & Andro),The Limba,31/08/2020,1.23M,24/08/20 - 30/08/20
16,17,Валим,Нурминский,31/08/2020,1.16M,24/08/20 - 30/08/20
17,18,Lollipop (feat. Jony),Gafur,31/08/2020,1.13M,24/08/20 - 30/08/20
18,19,ЭМЭМДЭНС,Миа Бойка,31/08/2020,1.09M,24/08/20 - 30/08/20
19,20,Go Bananas,Little Big,31/08/2020,1.07M,24/08/20 - 30/08/20
20,21,неболей (Баста & Zivert),Баста,31/08/2020,1.06M,24/08/20 - 30/08/20
21,22,РОЛЕКС (DAVA & Филипп Киркоров),DAVA,31/08/2020,1.06M,24/08/20 - 30/08/20
22,23,А если это любовь?,HammAli & Navai,31/08/2020,999K,24/08/20 - 30/08/20
23,24,Патамушка,Мэвл,31/08/2020,976K,24/08/20 - 30/08/20
